price3rsiUSD,fee_to_reward3stdUSD,difficulty14var,transactions7var,price7rocUSD,price3trxUSD,size90roc,transactions3var,price3rocUSD,activeaddresses7trx,price30rocUSD,price7rsiUSD,size90mom,confirmationtime30sma,price3momUSD,size90sma,mediantransactionvalue14rocUSD,hashrate30mom,mediantransactionvalue14momUSD,price14rsiUSD,fee_to_rewardUSD,price7momUSD,hashrate14trx,price30rsiUSD,activeaddresses,mediantransactionvalueUSD,top100cap90rsi,fee_to_reward14emaUSD,priceUSD,transactionvalueUSD,size3sma,hashrate7std,confirmationtime14wma,median_transaction_feeUSD,confirmationtime3ema,confirmationtime,category
71.98,0.8809999999999999,7.6133114101698e+20,865206371.0,0.22,0.243,40.085,818578873.0,2.54,0.778,-5.05,61.22,251062.0,9.133,22.708,869321.0,-3.587,7.07421003194223e+17,-4.383,55.674,6.062,2.014,0.89,55.972,555265,117.814,43.515,5.484,916.865,4645.0,902678.0,3.35505802830473e+17,9.062,0.22,9.213,9.474,0
66.362,0.8,7.7589275588239e+20,825190033.0,-0.579,0.246,6.352,86678495.0,1.278,0.632,-3.723,60.181,51507.0,9.115,11.555,869893.0,1.075,5.88212083896031e+17,1.118,55.356,5.433,-5.3279999999999985,0.8959999999999999,55.828,566127,105.174,43.621,5.477,915.551,5209.0,859129.0,3.32738632824928e+17,9.021,0.223,8.918,8.623,1
66.81,1.278,7.5838195319608e+20,728710408.0,-0.259,0.205,11.443,6400661.0,0.116,0.418,-3.891,60.272,98060.0,9.124,1.058,870983.0,24.845,5.35080781021988e+17,34.151,55.38800000000001,6.988,-2.381,0.893,55.841,545227,171.605,43.61,5.6789999999999985,915.703,5469.0,898273.0,3.15923174248518e+17,9.164,0.241,9.459,10.0,1
91.458,1.721,7.0879873295806e+20,897809935.0,3.465,0.454,6.1789999999999985,892549286.0,2.259,0.272,-3.4410000000000003,71.29,55837.0,9.147,20.709,871603.0,12.939,4.95011360648349e+17,17.754,59.813,7.442,31.395,0.868,57.78,569731,154.97,43.551,5.914,937.573,5457.0,925634.0,2.24109979667686e+17,9.284,0.275,9.695,9.931,1
96.719,1.144,6.2714309516832e+20,1543675081.0,8.377,0.985,15.576,1788644310.0,5.8439999999999985,0.462,-4.032,80.414,129677.0,9.095,53.50899999999999,873044.0,-2.108,1.1274850872165e+18,-2.806,65.17,6.067,74.904,0.872,60.372,675244,130.29399999999998,44.62600000000001,5.934,969.061,5743.0,958900.0,3.01679276959653e+17,9.072,0.246,8.597000000000001,7.5,1
97.932,1.123,5.1341503982678e+20,1404372948.0,9.407,1.423,-4.409,1380699617.0,8.008,0.504,-2.762,84.14399999999998,-42152.0,9.108,73.333,872576.0,24.095,8.88518993291391e+17,35.316,68.077,6.765,85.04,0.905,61.907,583892,181.883,44.587,6.045,989.036,7053.0,945181.0,4.19527758941425e+17,9.103,0.297,8.885,9.172,1
98.666,1.62,3.6761456693349e+20,1668628383.0,10.302,1.702,22.51,1455429713.0,7.605,0.5329999999999999,-6.125,87.01,178365.0,9.117,71.29899999999998,874558.0,11.998,2.14021888807149e+17,17.097,70.693,8.025,94.227,0.872,63.364,606928,159.6,43.971,6.309,1009.0,7600.0,948939.0,5.64739865132778e+17,9.19,0.311,9.275,9.664,1
98.817,1.053,1.9009832885262e+20,1454242070.0,10.554,1.6569999999999998,30.295,693119819.0,4.6,0.502,-2.9760000000000004,87.635,221368.0,9.107,44.572,877017.0,28.567,6.34759319972744e+17,35.292,71.301,7.155,96.768,0.8390000000000001,63.709,592108,158.833,43.958,6.4220000000000015,1014.0,7563.0,945561.0,5.65027935471735e+17,9.304,0.29,9.637,10.0,1
98.925,1.315,5.6424159014174e+19,1098984783.0,11.019,1.416,8.033,283086894.0,2.77,0.387,9.532,88.031,71226.0,9.111,27.399,877809.0,13.813,8.08778481359413e+17,16.483,71.673,6.416,100.884,0.8079999999999999,63.916,571232,135.806,43.793,6.421,1016.0,6261.0,960224.0,5.62232771099008e+17,9.272,0.29100000000000004,9.347,9.057,1
98.955,2.197,1.0411899870693e+20,1372383134.0,11.066,1.099,13.038,766440032.0,0.809,0.21,17.524,88.12700000000002,112935.0,9.147,8.165,879064.0,57.83,6.37508161813827e+17,91.268,71.758,9.026,101.334,0.765,63.96100000000001,556820,249.08900000000003,43.182,6.768,1017.0,7422.0,963018.0,5.67344996696736e+17,9.56,0.34700000000000003,10.433,11.52,1
