price3rsiUSD,activeaddresses90var,mediantransactionvalue7rocUSD,sentbyaddress7var,activeaddresses3trx,hashrate14roc,mining_profitability3sma,size90mom,size7rsi,mining_profitability3roc,price30momUSD,confirmationtime3ema,hashrate3mom,mediantransactionvalue90rsiUSD,confirmationtime7wma,sentbyaddress30std,fee_to_rewardUSD,transactionfees14rsiUSD,size14var,hashrate90roc,confirmationtime30ema,transactionfees30rsiUSD,mediantransactionvalue30wmaUSD,difficulty7trx,difficulty14std,hashrate7mom,priceUSD,hashrate3std,hashrate14mom,median_transaction_feeUSD,mediantransactionvalueUSD,sentinusdUSD,category
68.446,2405717701,1.632,132677640.0,-0.475,18.725,1.26,27907.0,42.202,-7.55,14.575,9.415,2.04347372463658e+17,49.69600000000001,9.808,37816.0,1.075,48.468,5250291308,58.815,9.781,50.019,118.389,0.141,1159920944.0,1.28789506310741e+17,418.564,1.62788275587969e+17,2.11632933944924e+17,0.0419,123.973,890688405.0,1
83.197,2335889828,-2.737,145876390.0,-0.257,9.443,1.294,79299.0,51.583,8.808,16.553,9.353,3.79505333612088e+16,49.649,9.66,37263.0,1.223,49.631,5296936903,75.306,9.749,50.624,118.468,0.134,1245307668.0,-7.20610915264356e+16,420.973,1.72346717012862e+17,1.13028408295561e+17,0.0421,121.912,948818090.0,1
84.626,2292586504,5.191,183836730.0,0.061,5.191,1.296,1721.0,47.207,0.525,11.508,9.262,1.27619533272986e+17,49.835,9.479,37966.0,1.4680000000000002,56.31800000000001,5172406053,67.419,9.712,54.23,119.075,0.126,1296634713.0,-282258293206272.0,421.292,5.6408856867167e+16,6.28064038439043e+16,0.0421,129.969,1008344908.0,0
55.904,2263055013,1.295,170951150.0,-0.69,-2.294,1.266,174594.0,53.912,-6.9460000000000015,7.337999999999999,9.811,-1.27803182583322e+17,49.745,9.616,37899.0,1.272,46.999,5098901594,42.717,9.754,49.08600000000001,119.447,0.115,1317887615.0,1.15731253463304e+17,420.006,7.89949202083865e+16,-2.85060303657718e+16,0.042,126.065,1149273664.0,1
60.697,2283683221,7.681,159639693.0,-1.541,-1.396,1.274,79390.0,48.354,1.922,8.373,9.906,-1.18104392011428e+17,49.905,9.709,37958.0,1.196,46.819,4324745537,43.802,9.77,48.983,120.279,0.104,1310530333.0,5.43791244427743e+16,420.314,6.83119740860419e+16,-1.68762562127931e+16,0.042,132.915,1145127634.0,0
21.755,2277815449,-9.757,165620270.0,-1.632,3.901,1.276,112843.0,38.752,0.509,3.131,9.397,1.28887290691809e+16,49.132,9.502,38123.0,0.895,44.287,4179326604,51.187,9.713,47.543,118.937,0.093,1274067322.0,1.36842331401157e+16,416.93300000000005,8.00941121522462e+16,4.82667671168991e+16,0.0417,99.467,935993950.0,1
49.74100000000001,2327546742,-2.643,181424382.0,-2.362,15.652,1.294,-103082.0,31.522,4.466,-0.688,8.86,2.21133670063975e+17,49.185,9.207,38216.0,0.764,43.31,5687602646,59.136,9.623,46.989,117.766,0.08199999999999999,1205861155.0,2.89968906053369e+17,418.889,2.00375587541749e+17,1.94226138198454e+17,0.0419,101.692,838084617.0,1
62.032,2314814551,3.753,165271919.0,-0.16399999999999998,7.791,1.281,164053.0,56.606,-3.111,6.724,9.136,1.15690319265265e+17,49.824,9.249,36084.0,1.294,49.941,5577604187,47.39,9.61,50.325,118.362,0.07200000000000001,1100022958.0,-3.42779287556188e+16,420.07,1.31824650803038e+17,9.45115775551222e+16,0.042,128.625,1078493351.0,1
82.329,2271045479,6.6320000000000014,281626455.0,2.803,-8.689,1.259,159325.0,61.49800000000001,-4.956,11.003,9.433,-2.37603615974548e+16,49.857,9.344,35896.0,1.354,49.224,5566407028,41.276,9.617,49.949,118.998,0.062,943978650.0,-4.8026661818548e+16,423.767,1.46621103311091e+17,-1.20087753344984e+17,0.0424,129.996,1479742922.0,0
79.69800000000002,2231411179,4.891,293097554.0,2.799,4.034,1.277,-11301.0,48.769,4.238,9.588,9.107,-1.10705647565354e+17,50.008,9.186,36874.0,1.104,48.147,5593486493,75.131,9.563,49.397,119.978,0.053,705150106.0,5.16437252150282e+16,423.615,5.28073304019789e+16,5.1361466921822e+16,0.0424,136.326,1361799192.0,0
71.089,2188304623,4.44,320284910.0,1.744,25.403,1.286,-71232.0,49.43600000000001,2.309,7.452000000000001,8.943999999999997,6.97414186812923e+16,49.896,9.043,37647.0,1.083,46.83,4597431639,92.3,9.513,48.731,120.627,0.117,3953899071.0,1.63266672508996e+17,423.23,9.42965534742626e+16,2.789979259723e+17,0.0423,131.661,1253074066.0,1
87.77799999999998,2210860774,10.166,320159613.0,-0.374,19.653,1.234,46703.0,56.76600000000001,-12.438,11.027,9.652,9.90857130747738e+16,50.253,9.35,36764.0,1.27,49.663,4796998841,77.638,9.568,50.06100000000001,122.215,0.239,6994410639.0,1.69163443267654e+17,426.47,4.41913578064855e+16,2.23542567710428e+17,0.0426,146.428,1628581013.0,1
93.476,2223876553,7.967,390914495.0,-1.567,-1.496,1.1909999999999998,-79334.0,45.249,-9.881,11.504,10.043,-7.14726830287488e+16,49.31399999999999,9.663,36703.0,0.98,45.916,4483063564,60.534,9.623,48.221,121.397,0.361,8753960534.0,-3.27176868829015e+16,429.73800000000006,1.10335373741134e+17,-1.90334537427858e+16,0.043,107.392,1309938294.0,0
66.33,2228076076,11.83,316223670.0,-1.123,16.787,1.1909999999999998,-6218.0,43.88800000000001,0.065,14.749,9.579,-3.98549459434524e+16,49.469,9.591,36423.0,0.861,44.22,4667629990,35.24800000000001,9.591,47.371,121.085,0.459,9931402980.0,-9.77219434984312e+16,427.826,9.27661566095651e+16,1.92246962554938e+17,0.0428,113.723,1118898182.0,0
59.422,2189036278,-0.277,319892718.0,0.207,-5.178,1.203,63790.0,60.072,3.4560000000000004,19.784,10.162,-8.86746429451374e+16,49.825,9.898,36347.0,1.394,51.159,5575509789,51.07100000000001,9.665,50.589,121.74,0.522,10720289201.0,-3.52015189427492e+16,427.315,7.22479149202733e+16,-6.9479447698368e+16,0.0427,128.269,1691787258.0,1
71.604,1949699392,2.324,266549362.0,0.632,-1.317,1.225,-112228.0,51.538,5.282,18.446,9.881,3.97336326754565e+16,49.941,9.872,37204.0,1.147,47.299,5603190935,55.092,9.661,48.712,122.648,0.5529999999999999,11203005456.0,3.07763073900099e+16,428.717,5.43703935474321e+16,-1.72503544285381e+16,0.0429,133.018,1587216550.0,1
91.934,1949098156,-1.662,242908229.0,0.515,4.578,1.255,-143273.0,46.853,7.263,26.81,9.304,-6358132930603264.0,49.967,9.632,37527.0,1.038,49.359,5630878419,74.415,9.601,49.679,123.557,0.556,11418448109.0,6625571136320000.0,436.562,4.86976311517053e+16,5.82692963513482e+16,0.0437,134.059,1778229119.0,1
95.778,1949505607,1.179,234166489.0,0.436,19.144,1.265,69935.0,50.322,2.53,27.927,9.42,1.7408587700541e+17,49.94600000000001,9.596,37781.0,1.122,50.31100000000001,5539269736,61.687,9.597,50.122,124.381,0.5379999999999999,11381804711.0,6.91429393813683e+16,443.215,1.30654574633406e+17,2.32409611890364e+17,0.0443,133.213,2229111901.0,1
96.603,1959209669,-6.307,231524998.0,-0.39,5.894,1.271,203410.0,54.599,1.497,28.484,9.745,-3.06079595433167e+16,50.04600000000001,9.666,37572.0,1.181,50.74800000000001,5739267230,28.83,9.627,50.32,125.403,0.505,11090576858.0,-9.89173652280806e+16,445.474,1.52083690991672e+17,7.0246078039573e+16,0.0445,137.192,2355360487.0,1
96.762,1961256128,-3.468,175108494.0,-0.603,2.994,1.223,35576.0,42.653,-10.519,30.031,9.873,-6888200194772736.0,49.206,9.729,38021.0,0.913,45.987,5518644831,38.814,9.651,48.15600000000001,124.207,0.463,10523649883.0,7.12100539702961e+16,445.852,1.53152287035097e+17,3.84923670873946e+16,0.0446,103.667,1525996777.0,1
98.562,1960413338,-13.914,233977211.0,-0.47,-14.072,1.241,8684.0,50.382,4.573,37.243,10.390999999999998,-2.13227516214768e+17,49.062,10.035,37118.0,0.999,47.23,3250821174,22.315,9.732,48.688,122.684,0.417,9632466661.0,-1.04229630889947e+17,452.604,7.59168498811177e+16,-2.01951574388378e+17,0.0453,97.899,1005038252.0,1
