price90varUSD,mining_profitability90trx,top100cap90roc,difficulty90sma,mining_profitability90mom,price30varUSD,fee_to_reward14stdUSD,category
279.003,-0.095,0.593,16488500.0,-6987.0,59.772,0.32,1
272.47700000000003,-0.106,0.422,16736086.0,-5886.0,54.477,0.335,1
268.915,-0.117,1.5319999999999998,16983671.0,-4980.0,48.716,0.349,1
266.35400000000004,-0.128,1.536,17231256.0,-6224.0,43.832,0.337,1
259.925,-0.138,2.218,17478841.0,-5937.0,42.018,0.333,1
249.622,-0.149,2.512,17716647.0,-4791.0,42.931,0.325,1
244.603,-0.159,2.326,17951988.0,-4745.0,44.667,0.312,1
243.909,-0.16899999999999998,2.613,18187329.0,-3823.0,49.67,0.359,1
244.219,-0.18,2.154,18422669.0,-3606.0,54.377,0.35,1
244.426,-0.19,2.336,18658010.0,-4046.0,58.173,0.336,1
243.086,-0.2,2.091,18925434.0,-4990.0,60.413,0.319,1
241.899,-0.209,2.4530000000000003,19228950.0,-4106.0,57.849,0.294,1
241.163,-0.219,2.143,19532466.0,-4285.0,46.674,0.301,1
240.401,-0.229,2.143,19835983.0,-3991.0,39.36,0.304,1
239.79,-0.238,2.273,20139499.0,-4143.0,35.0,0.293,1
238.827,-0.248,2.772,20443015.0,-4381.0,27.518,0.299,1
237.502,-0.257,2.7710000000000004,20746532.0,-4748.0,21.926,0.28300000000000003,1
236.41,-0.266,2.535,21047550.0,-3858.0,19.743,0.299,1
235.145,-0.276,3.168,21338722.0,-3911.0,18.934,0.292,1
234.551,-0.285,4.2410000000000005,21629895.0,-3436.0,19.045,0.324,1
234.46400000000003,-0.294,4.524,21947951.0,-3456.0,19.305,0.326,1
233.891,-0.303,3.659,22388207.0,-4036.0,20.048,0.33,1
232.501,-0.312,3.389,22828464.0,-4242.0,20.986,0.506,1
230.425,-0.32,2.978,23268720.0,-4252.0,21.492,0.527,1
228.24400000000003,-0.329,2.317,23708977.0,-3940.0,21.256,0.528,1
225.899,-0.338,2.231,24149233.0,-3707.0,19.519,0.53,1
222.732,-0.34700000000000003,2.423,24589490.0,-4685.0,17.727999999999994,0.531,1
219.032,-0.355,1.52,25029746.0,-4171.0,16.748,0.535,1
214.849,-0.364,1.3530000000000002,25470003.0,-4758.0,17.615,0.537,1
207.895,-0.3720000000000001,1.223,25910259.0,-4449.0,19.911,0.537,1
198.646,-0.38,1.722,26347588.0,-4641.0,21.053,0.54,1
188.516,-0.389,1.643,26836070.0,-4392.0,22.022,0.535,1
178.93200000000004,-0.397,1.381,27431588.0,-4658.0,24.23,0.523,1
171.268,-0.405,1.197,28027107.0,-4363.0,26.012,0.488,1
164.033,-0.413,1.1840000000000002,28622625.0,-4472.0,29.318,0.475,1
157.486,-0.421,1.216,29218143.0,-4592.0,36.469,2.456,1
151.672,-0.429,0.762,29813661.0,-4188.0,43.804,2.472,1
146.683,-0.4370000000000001,0.727,30409180.0,-4919.0,54.0,2.476,1
145.453,-0.444,0.596,31004698.0,-3894.0,67.676,2.479,1
147.96,-0.452,0.716,31600216.0,-4290.0,83.25,2.502,1
151.4,-0.46,0.601,32195735.0,-4200.0,98.217,2.504,1
154.155,-0.467,0.123,32776660.0,-3064.0,109.629,2.507,1
154.866,-0.474,0.6970000000000001,33511428.0,-3170.0,114.885,2.507,1
155.884,-0.482,0.091,34303955.0,-3010.0,116.753,2.506,1
157.496,-0.489,-0.106,35096481.0,-3157.0,116.561,2.505,1
160.291,-0.496,-0.552,35889008.0,-2539.0,114.629,2.502,1
164.078,-0.504,-0.509,36681534.0,-2667.0,111.201,2.507,1
167.917,-0.511,-1.142,37474061.0,-2931.0,106.541,2.518,1
172.412,-0.518,-1.557,38266587.0,-2993.0,101.468,2.531,1
178.053,-0.525,-1.776,39059114.0,-2501.0,97.073,0.247,1
185.405,-0.532,-2.081,39851640.0,-2676.0,93.482,0.247,1
193.103,-0.539,-2.274,40644167.0,-2462.0,89.89200000000002,0.244,1
200.584,-0.546,-2.474,41435500.0,-2445.0,85.243,0.273,1
207.759,-0.552,-2.643,42472048.0,-1828.0,78.333,0.26,1
214.629,-0.5589999999999999,-2.954,43508596.0,-2049.0,70.15899999999999,0.324,1
221.472,-0.5660000000000001,-3.122,44545143.0,-2338.0,60.767,2.971,1
228.568,-0.573,-3.232,45581691.0,-2287.0,51.512,3.0610000000000004,1
234.16,-0.579,-2.633,46618239.0,-2410.0,43.451,3.073,1
239.224,-0.586,-2.466,47654786.0,-2164.0,38.13,3.083,1
244.403,-0.5920000000000001,-2.652,48691334.0,-1973.0,34.1,3.09,1
249.716,-0.599,-3.47,49727882.0,-1992.0,28.716,3.0980000000000003,1
254.722,-0.605,-3.035,50764430.0,-2049.0,22.486,3.091,1
259.64,-0.612,-3.3510000000000004,51800977.0,-2013.0,17.41,3.088,1
264.713,-0.618,-3.657,52983927.0,-2164.0,12.842,3.0780000000000003,1
269.244,-0.625,-3.587,54422593.0,-2014.0,10.217,3.072,1
272.725,-0.631,-3.614,55851942.0,-1858.0,9.087,3.049,1
276.471,-0.637,-3.662,57268429.0,-1533.0,8.116,3.031,1
278.656,-0.643,-3.747,58684916.0,-1628.0,7.841,3.031,1
279.398,-0.65,-3.934,60101404.0,-1512.0,7.893,3.051,1
279.076,-0.6559999999999999,-3.823,61517891.0,-1682.0,7.701,1.251,1
273.319,-0.662,-3.307,62934379.0,-1333.0,9.701,0.877,1
263.22900000000004,-0.6679999999999999,-2.74,64350866.0,-1466.0,14.449000000000002,0.639,1
249.03,-0.674,-3.375,65767354.0,-1264.0,14.898,0.638,1
237.946,-0.68,-3.266,67183841.0,-1124.0,14.591,0.6459999999999999,1
229.122,-0.6859999999999999,-3.708,68770439.0,-1462.0,13.563,0.652,1
219.33,-0.6920000000000001,-3.794,70636505.0,-1340.0,12.406,0.655,1
211.864,-0.698,-3.677,72502571.0,-1564.0,11.739,0.669,1
207.768,-0.7040000000000001,-3.995,74315614.0,-1160.0,11.432,0.667,1
205.337,-0.71,-3.609,76128040.0,-1102.0,11.505,0.667,1
204.113,-0.716,-2.7060000000000004,77940467.0,-1500.0,11.681,0.272,1
202.712,-0.722,-2.35,79752893.0,-1365.0,11.755999999999998,0.271,1
202.501,-0.728,-2.112,81565319.0,-1366.0,12.459,0.274,1
203.641,-0.7340000000000001,-2.117,83377746.0,-1332.0,14.626,0.278,1
206.23,-0.7390000000000001,-2.509,85190172.0,-1533.0,19.903,0.251,1
207.992,-0.745,-4.24,87342964.0,-1266.0,26.164,0.269,1
209.134,-0.7509999999999999,-3.783,90027057.0,-1399.0,34.44,0.29600000000000004,1
212.882,-0.7559999999999999,-3.1660000000000004,92711150.0,-1347.0,48.066,0.307,1
224.071,-0.762,-3.062,95395243.0,-1428.0,77.189,0.295,1
237.456,-0.767,-3.196,98068016.0,-1051.0,110.52,0.28,1
258.12,-0.773,-3.44,100695508.0,-941.216,157.781,0.264,1
297.905,-0.778,-3.952,103323000.0,-1196.0,245.874,0.235,1
353.711,-0.784,-3.977,105950492.0,-998.376,366.337,0.25,1
398.466,-0.789,-4.061,108577984.0,-1101.0,454.733,0.284,1
419.142,-0.794,0.975,111205476.0,-1224.0,489.786,0.273,1
442.169,-0.799,1.176,115006278.0,-1128.0,528.323,0.266,1
472.132,-0.805,0.732,119002632.0,-1363.0,574.309,0.37,1
514.696,-0.81,0.462,122998985.0,-1361.0,641.3580000000002,0.345,1
564.596,-0.815,-0.119,126995339.0,-1284.0,715.2360000000001,0.327,1
615.9490000000002,-0.82,0.428,130991693.0,-1169.0,785.7410000000001,0.34,1
664.862,-0.825,0.469,134988046.0,-1352.0,845.6060000000001,0.35600000000000004,1
714.61,-0.83,1.021,138952317.0,-1002.0,877.1360000000002,0.36,1
763.966,-0.835,0.955,142880495.0,-1108.0,885.335,0.388,1
816.085,-0.84,1.491,146808673.0,-1028.0,908.998,0.377,1
886.215,-0.845,3.657,150736851.0,-1092.0,958.842,0.403,1
989.395,-0.85,3.819,154902579.0,-1023.0,1058.0,0.422,1
1127.0,-0.855,3.932,160164101.0,-1138.0,1214.0,1.421,1
1331.0,-0.8590000000000001,4.226,165425623.0,-926.324,1489.0,1.895,1
1606.0,-0.8640000000000001,4.565,170687145.0,-1049.0,1889.0,2.121,1
