mining_profitability90wma,mining_profitability90trx,price90rocUSD,difficulty90std,price90varUSD,difficulty14trx,category
2114.0,-0.266,-16.428,16301732.0,236.41,1.597,1
2078.0,-0.276,-17.109,16521509.0,235.145,1.581,1
2042.0,-0.285,-13.482,16718128.0,234.551,1.5530000000000002,1
2004.0,-0.294,-9.216,16998174.0,234.46400000000003,1.534,1
1963.0,-0.303,-10.007,17889667.0,233.891,1.604,1
1925.0,-0.312,-12.254,18697375.0,232.501,1.7180000000000002,1
1886.0,-0.32,-14.424,19431749.0,230.425,1.846,1
1849.0,-0.329,-14.268,20100828.0,228.24400000000003,1.968,1
1813.0,-0.338,-14.377,20710942.0,225.899,2.071,1
1777.0,-0.34700000000000003,-14.993,21267166.0,222.732,2.148,1
1745.0,-0.355,-13.356,21773630.0,219.032,2.197,1
1713.0,-0.364,-11.446,22233735.0,214.849,2.218,1
1684.0,-0.3720000000000001,-13.894,22650306.0,207.895,2.213,1
1653.0,-0.38,-16.919,23033349.0,198.646,2.185,1
1622.0,-0.389,-17.826,23664599.0,188.516,2.172,1
1590.0,-0.397,-16.123,24825702.0,178.93200000000004,2.222,1
1560.0,-0.405,-13.545,25880119.0,171.268,2.298,1
1531.0,-0.413,-11.512,26840427.0,164.033,2.376,1
1505.0,-0.421,-9.403,27716410.0,157.486,2.441,1
1479.0,-0.429,-8.415,28515839.0,151.672,2.485,1
1455.0,-0.4370000000000001,-6.746,29244993.0,146.683,2.504,1
1434.0,-0.444,-1.6669999999999998,29909013.0,145.453,2.497,1
1412.0,-0.452,3.588,30512150.0,147.96,2.467,0
1391.0,-0.46,4.932,31057953.0,151.4,2.416,0
1372.0,-0.467,3.969,31586330.0,154.155,2.347,0
1346.0,-0.474,1.138,32999412.0,154.866,2.344,0
1323.0,-0.482,2.026,34627123.0,155.884,2.397,1
1300.0,-0.489,4.038,36112176.0,157.496,2.471,1
1276.0,-0.496,8.579,37471538.0,160.291,2.542,1
1254.0,-0.504,12.064,38718448.0,164.078,2.5980000000000003,1
1235.0,-0.511,10.594,39863461.0,167.917,2.63,1
1214.0,-0.518,11.023,40915132.0,172.412,2.636,1
1196.0,-0.525,13.827,41880494.0,178.053,2.617,1
1178.0,-0.532,20.237,42765391.0,185.405,2.574,1
1160.0,-0.539,23.761,43574727.0,193.103,2.511,1
1143.0,-0.546,23.509,44332252.0,200.584,2.432,1
1122.0,-0.552,22.656,46525429.0,207.759,2.437,1
1101.0,-0.5589999999999999,19.426,48531300.0,214.629,2.482,1
1084.0,-0.5660000000000001,18.217,50372246.0,221.472,2.5380000000000003,1
1066.0,-0.573,18.152,52065765.0,228.568,2.588,1
1049.0,-0.579,15.513,53625824.0,234.16,2.62,1
1031.0,-0.586,16.723,55063770.0,239.224,2.63,1
1014.0,-0.5920000000000001,19.108,56388945.0,244.403,2.616,1
997.785,-0.599,23.413,57609131.0,249.716,2.579,1
981.514,-0.605,24.719,58730872.0,254.722,2.522,1
965.971,-0.612,23.786,59759713.0,259.64,2.448,1
949.51,-0.618,26.44,61336731.0,264.713,2.399,1
930.893,-0.625,32.968,64123331.0,269.244,2.425,1
914.376,-0.631,37.064,66689889.0,272.725,2.485,1
898.45,-0.637,37.151,69070210.0,276.471,2.552,1
882.14,-0.643,44.058,71258649.0,278.656,2.609,1
866.48,-0.65,47.89,73272401.0,279.398,2.645,1
851.36,-0.6559999999999999,51.521,75125515.0,279.076,2.657,1
836.3639999999998,-0.662,43.736,76829615.0,273.319,2.643,1
820.65,-0.6679999999999999,48.602,78394419.0,263.22900000000004,2.6060000000000003,1
805.61,-0.674,77.32,79828119.0,249.03,2.547,1
792.428,-0.68,71.053,81137666.0,237.946,2.472,1
776.7539999999998,-0.6859999999999999,62.297,83051382.0,229.122,2.416,1
761.2289999999998,-0.6920000000000001,66.09100000000001,86191992.0,219.33,2.422,1
746.3560000000001,-0.698,60.043,89065871.0,211.864,2.455,1
731.811,-0.7040000000000001,50.789,91815108.0,207.768,2.4930000000000003,1
718.0239999999999,-0.71,45.299,94346427.0,205.337,2.522,1
704.112,-0.716,40.566,96675765.0,204.113,2.5340000000000003,1
691.365,-0.722,40.828,98817405.0,202.712,2.526,1
678.205,-0.728,42.026,100783314.0,202.501,2.497,1
666.0169999999998,-0.7340000000000001,44.694,102583596.0,203.641,2.449,1
654.328,-0.7390000000000001,51.776,104226834.0,206.23,2.384,1
640.988,-0.745,57.504,107221878.0,207.992,2.359,1
627.244,-0.7509999999999999,65.443,112905170.0,209.134,2.431,1
614.996,-0.7559999999999999,71.389,118071964.0,212.882,2.548,1
603.211,-0.762,83.441,122787480.0,224.071,2.673,1
591.391,-0.767,87.074,127127389.0,237.456,2.783,1
580.48,-0.773,93.348,131204921.0,258.12,2.865,1
570.695,-0.778,108.64,134955029.0,297.905,2.914,1
561.359,-0.784,117.839,138404331.0,353.711,2.927,1
551.976,-0.789,108.094,141574814.0,398.466,2.908,1
542.3240000000002,-0.794,91.477,144484834.0,419.142,2.859,1
530.1569999999998,-0.799,95.772,153582973.0,442.169,2.928,1
519.192,-0.805,95.558,163082232.0,472.132,3.07,1
508.439,-0.81,102.087,171686145.0,514.696,3.2310000000000003,1
498.274,-0.815,101.181,179523491.0,564.596,3.377,1
488.964,-0.82,103.984,186690836.0,615.9490000000002,3.487,1
479.71,-0.825,104.964,193262738.0,664.862,3.553,1
470.9980000000001,-0.83,107.473,199366527.0,714.61,3.573,1
461.951,-0.835,111.103,205057912.0,763.966,3.55,1
453.434,-0.84,112.194,210302254.0,816.085,3.489,1
445.569,-0.845,120.664,215132248.0,886.215,3.3960000000000004,1
438.042,-0.85,137.605,220640816.0,989.395,3.299,1
430.2,-0.855,158.814,231498364.0,1127.0,3.285,1
422.653,-0.8590000000000001,190.963,241410741.0,1331.0,3.305,1
416.231,-0.8640000000000001,219.246,250490181.0,1606.0,3.3310000000000004,1
411.591,-0.8690000000000001,260.05,258824355.0,2016.0,3.342,1
406.004,-0.873,210.56,266483195.0,2247.0,3.3310000000000004,1
400.655,-0.878,230.755,273581562.0,2549.0,3.294,1
396.329,-0.882,249.591,280364526.0,2930.0,3.232,1
391.597,-0.8859999999999999,280.637,286622691.0,3444.0,3.1460000000000004,1
389.201,-0.8909999999999999,315.353,292389759.0,4104.0,3.0410000000000004,1
386.687,-0.895,325.386,297694270.0,4802.0,2.92,1
