hashrate14std,fee_to_reward90trxUSD,hashrate30trx,difficulty14trx,top100cap,price90smaUSD,price90rocUSD,difficulty90var,mining_profitability,price30varUSD,difficulty14var,price30smaUSD,priceUSD,price3emaUSD,top100cap90rsi,price90momUSD,top100cap30rsi,difficulty7trx,price7rocUSD,price7rsiUSD,median_transaction_feeUSD,price14rocUSD,top100cap14mom,top100cap14rsi,top100cap30mom,top100cap30roc,category
2.45702096930114e+16,-0.377,1.187,1.123,19.473,512.535,1.052,6.21654651330499e+18,22.066,960.736,6.97743989659828e+17,611.933,585.681,589.183,45.032,6.099,42.333,1.286,-1.894,39.311,0.0586,-10.002,-0.377,26.643,-0.322,-1.629,1
2.23751709045822e+16,-0.376,1.206,1.121,19.477,512.821,4.734,6.31434766901371e+18,21.008000000000006,988.881,6.87969533771448e+17,611.554,568.9119999999998,579.048,45.078,25.715,42.502,1.204,-6.377999999999999,30.289,0.0569,-11.454,-0.417,27.036,-0.315,-1.59,1
2.0028254277731e+16,-0.375,1.221,1.111,19.472,513.567,13.363,6.39449470307035e+18,20.702,998.325,6.48495769606717e+17,611.436,569.836,574.442,45.026,67.172,42.326,1.103,-5.52,31.303,0.057,-8.286,-0.431,26.825,-0.332,-1.6769999999999998,1
1.7849023362488e+16,-0.374,1.234,1.093,19.461,514.507,16.932000000000002,6.45698761547493e+18,23.439,971.622,5.79322697165636e+17,611.832,583.871,579.1569999999998,44.918,84.54799999999999,41.958,0.991,-1.199,45.377,0.0584,-2.026,-0.444,26.368,-0.348,-1.756,1
1.62189067863445e+16,-0.373,1.245,1.067,19.455,515.922,27.138,6.50182640622743e+18,21.887,910.584,4.80450316448268e+17,612.832,596.82,587.988,44.845,127.392,41.708,0.877,1.244,55.246,0.0597,3.79,-0.481,26.049,-0.35100000000000003,-1.7719999999999998,1
1.84990799807022e+16,-0.3720000000000001,1.259,1.0759999999999998,19.437,517.452,30.122,6.76052898790311e+18,16.834,908.738,6.82690028362236e+17,612.881,594.664,591.326,44.655,137.659,41.052,1.006,-0.7070000000000001,53.372,0.0595,5.194,-0.493,25.2,-0.344,-1.74,1
1.80051263549537e+16,-0.371,1.266,1.131,19.455,519.049,30.183000000000003,7.20363905643176e+18,17.95,908.966,1.23821423377783e+18,612.8969999999998,620.059,605.693,44.896,143.762,42.01600000000001,1.362,5.188,68.193,0.062,4.0280000000000005,-0.464,27.79,-0.338,-1.706,1
1.76241989630169e+16,-0.37,1.265,1.208,19.566,521.082,39.233,7.61230124519935e+18,19.342,919.785,1.53227999712113e+18,613.057,649.274,627.4830000000002,46.345,182.952,47.476000000000006,1.724,10.858,77.704,0.0649,8.759,-0.344,41.256,-0.234,-1.18,0
1.75534758056416e+16,-0.368,1.26,1.291,19.564,523.424,48.464,7.98651555420588e+18,19.238,937.961,1.95061554704469e+18,613.387,645.747,636.615,46.319,210.796,47.379,1.991,13.505,74.563,0.0646,6.266,-0.368,41.083,-0.229,-1.155,0
1.57135200412082e+16,-0.3670000000000001,1.251,1.368,19.454,525.638,44.83600000000001,8.32628198345133e+18,19.454,881.18,2.28548731985451e+18,612.694,643.645,640.13,45.12600000000001,199.25,43.114,2.135,12.953,72.52600000000002,0.0644,6.718,-0.489,33.901,-0.363,-1.831,0
