priceUSD,price90emaUSD,mining_profitability90trx,sentinusd90stdUSD,price30wmaUSD,difficulty30trx,median_transaction_feeUSD,difficulty90var,mining_profitability,top100cap,difficulty30var,difficulty14wma,difficulty3ema,hashrate14trx,difficulty90mom,hashrate14var,price7rsiUSD,fee_to_rewardUSD,difficulty30roc,difficulty30mom,mediantransactionvalueUSD,category
110.375,82.985,0.507,201420038,115.935,1.389,0.0552,5232294401290.0,5568.0,20.097,828138192474.0,9841102.0,10071120.0,0.901,6800828.0,2.41024466772e+25,43.034,1.103,31.321,2403293.0,70.008,1
109.595,83.57,0.509,200740124,115.387,1.378,0.0548,5316145264416.0,5355.0,20.126,827403605107.0,9906186.0,10073707.0,0.925,6800828.0,2.9566781482803003e+25,42.114,1.249,31.321,2403293.0,76.058,1
108.42,84.116,0.51,200386240,114.879,1.366,0.0542,5388576061981.0,5442.0,20.137,813833868703.0,9960775.0,10075000.0,0.943,6800828.0,2.9417873500209996e+25,40.592,1.585,31.321,2403293.0,59.976000000000006,1
110.54,84.696,0.511,199721389,114.695,1.352,0.0553,5449586793985.0,5770.0,20.063,787428983260.0,10004869.0,10075646.0,0.956,6800828.0,3.1671102405995e+25,44.793,1.476,31.321,2403293.0,59.973,0
112.503,85.30799999999998,0.511,199056082,114.784,1.336,0.0563,5499177460428.0,5926.0,20.028,748188948779.0,10038468.0,10075970.0,0.976,6800828.0,3.5264450275215002e+25,48.713,1.341,31.321,2403293.0,46.253,0
111.738,85.88799999999998,0.511,198532769,114.828,1.32,0.112,5555966504632.0,5199.0,20.009,710282151899.0,10091550.0,10188550.0,1.009,7025666.0,3.9738491824761e+25,47.18899999999999,1.332,34.251999999999995,2628131.0,52.908,0
112.241,86.46799999999998,0.51,197573851,114.864,1.306,0.0561,5683226128875.0,5179.0,20.001,739412512756.0,10250145.0,10687904.0,1.06,7911793.0,5.4356483545174e+25,48.428,1.331,45.8,3514258.0,66.581,0
108.635,86.955,0.509,196741610,114.638,1.294,0.0543,5795029835465.0,4670.0,20.022,741098415689.0,10387665.0,10937581.0,1.1,7911793.0,5.9324392201205e+25,40.494,1.472,45.8,3514258.0,56.878,0
104.575,87.34200000000001,0.507,196130687,114.113,1.284,0.0523,5891377624403.0,4587.0,20.046,715339860697.0,10512491.0,11062419.0,1.098,7911793.0,5.5146342246284e+25,33.324,1.6909999999999998,45.8,3514258.0,61.822,0
107.0,87.774,0.504,195448046,113.707,1.274,0.0535,5972269495688.0,4982.0,20.142,662136847781.0,10626737.0,11124838.0,1.065,7911793.0,4.3873903091148e+25,40.648,2.053,45.8,3514258.0,67.321,0
110.492,88.273,0.502,194598385,113.458,1.263,0.0552,6037705449320.0,5231.0,20.111,629491612015.0,10730402.0,11156048.0,1.027,7911793.0,3.0803164914517e+25,49.893,1.361,39.175,3148981.0,68.267,0
112.815,88.81299999999997,0.499,193750095,113.289,1.253,0.0564,6087685485299.0,5206.0,20.113,662411699989.0,10823486.0,11171653.0,0.971,7911793.0,2.3889577590106e+25,55.299,1.054,24.659,2212961.0,80.035,0
112.905,89.34200000000001,0.495,193458655,113.086,1.241,0.0565,6151478207977.0,4934.0,20.098,684449124933.0,10905989.0,11179455.0,0.931,7547909.0,1.7470363229884e+25,55.51600000000001,1.198,24.659,2212961.0,57.043,0
113.2,89.867,0.491,193097493,112.888,1.229,0.0566,6202114660158.0,4693.0,20.11,695603886848.0,10977912.0,11183356.0,0.866,7536246.0,2.1198796048876e+25,56.324,1.3330000000000002,24.659,2212961.0,75.782,0
115.28,90.425,0.487,192397310,112.828,1.216,0.0576,6238727655248.0,5631.0,20.084,695875985732.0,11039255.0,11185307.0,0.784,7536246.0,2.4938417973333e+25,62.017,1.22,24.659,2212961.0,88.835,0
116.686,91.002,0.483,191511846,112.856,1.202,0.0583,6261317193246.0,5211.0,20.132,685265421585.0,11090017.0,11186282.0,0.725,7536246.0,2.5555889227977e+25,65.556,1.267,24.659,2212961.0,92.055,0
118.696,91.611,0.479,190955103,113.008,1.187,0.0593,6269883274153.0,5784.0,20.112,663772194409.0,11130198.0,11186770.0,0.687,7536246.0,2.6448249615677e+25,70.191,1.285,24.659,2212961.0,90.044,0
124.605,92.336,0.474,190116802,113.545,1.171,0.0623,6264425897968.0,5588.0,20.143,631396304202.0,11159798.0,11187014.0,0.679,7536246.0,3.1269115376999002e+25,79.601,1.134,24.659,2212961.0,99.751,0
127.725,93.114,0.47,189513580,114.305,1.154,0.0639,6266845828596.0,5608.0,19.901,604013203318.0,11213951.0,11318884.0,0.6859999999999999,7799742.0,3.5593207350683e+25,82.92299999999999,1.137,27.595,2476458.0,75.408,0
128.75,93.897,0.465,189589907,115.157,1.14,0.0644,6318752595334.0,5311.0,19.908,623344087319.0,11348701.0,11736148.0,0.7140000000000001,8502400.0,4.4507304509417e+25,83.926,0.7709999999999999,35.425,3179116.0,84.322,0
128.355,94.654,0.46,189031386,115.992,1.127,0.0642,6352809780071.0,5450.0,19.976,620215467762.0,11465811.0,11944780.0,0.768,8502400.0,5.9998939766872995e+25,81.767,1.103,35.425,3179116.0,73.29899999999998,0
125.725,95.337,0.455,188400077,116.654,1.115,0.0629,6369017382807.0,5226.0,19.977,594627344646.0,11573719.0,12049096.0,0.8079999999999999,8502400.0,6.364027175689999e+25,68.14699999999999,1.372,35.425,3179116.0,90.398,0
126.43,96.021,0.45,187675617,117.358,1.103,0.0632,6367375403541.0,5342.0,19.927,546579717972.0,11672426.0,12101254.0,0.847,8502400.0,6.7355201399270016e+25,69.72399999999999,1.23,35.425,3179116.0,99.887,0
127.245,96.707,0.445,187298143,118.122,1.092,0.0636,6366377419091.0,5567.0,19.946,565286579534.0,11761931.0,12127333.0,0.889,8309035.0,7.0431668292243e+25,71.618,1.053,23.33,2298997.0,91.552,0
126.424,97.36,0.44,186753167,118.85,1.08,0.0632,6395258410585.0,5071.0,19.878,587450612851.0,11842235.0,12140372.0,0.948,7785536.0,8.8478816985513e+25,66.71,1.023,20.614,2077119.0,104.966,0
126.909,98.009,0.435,186121235,119.605,1.068,0.0647,6409172842506.0,5865.0,19.881,600027040348.0,11913337.0,12146892.0,1.027,7785536.0,1.0738897314981e+26,68.212,0.772,20.614,2077119.0,72.57,0
124.135,98.584,0.429,185683896,120.147,1.056,0.0621,6408120714852.0,4901.0,19.884,603015862026.0,11975238.0,12150152.0,1.143,7785536.0,1.6649471246697e+26,52.434,0.976,20.614,2077119.0,78.22,0
120.333,99.062,0.424,185414736,120.397,1.042,0.0602,6392102027625.0,5209.0,19.797,596417077884.0,12027937.0,12151782.0,1.264,7785536.0,1.735608758923e+26,38.275,1.098,20.614,2077119.0,87.36200000000002,0
119.685,99.515,0.418,185551204,120.573,1.028,0.0598,6361116780823.0,5139.0,19.784,580230687922.0,12071435.0,12152597.0,1.378,7785536.0,1.5967143966624e+26,36.325,1.012,20.614,2077119.0,97.318,0
120.096,99.967,0.413,185339537,120.762,1.018,0.06,6438715473404.0,4025.0,19.869,681640680171.0,12280844.0,12809677.0,1.515,9098881.0,2.0610677142995997e+26,38.636,1.294,33.648,3390464.0,82.056,0
119.388,100.394,0.406,184738296,120.89,1.016,0.0597,6773409257296.0,3829.0,19.817,1186443610557.0,12753727.0,14207655.0,1.66,11237757.0,2.4645091503926e+26,36.008,0.907,54.875,5529340.0,78.77199999999998,0
115.014,100.715,0.4,184154614,120.716,1.021,0.0575,7076921022618.0,3733.0,19.816,1623305210720.0,13184530.0,14906644.0,1.751,11237757.0,2.3081931162816997e+26,24.157,0.967,54.875,5529340.0,98.733,0
110.585,100.932,0.393,184383762,120.246,1.031,0.0553,7349250769370.0,3834.0,19.852,1992225480660.0,13573254.0,15256138.0,1.814,11237757.0,2.1582041427281e+26,17.394000000000002,1.012,54.875,5529340.0,77.985,0
