price90smaUSD,mining_profitability90trx,top100cap30trx,mining_profitability,top100cap90mom,difficulty90var,hashrate30var,top100cap90roc,top100cap90rsi,fee_to_rewardUSD,price30smaUSD,price3wmaUSD,top100cap,price7emaUSD,category
109.638,0.336,-0.006,3173.0,0.611,8584355969811.0,5.1206690169092004e+26,3.149,50.032,0.7609999999999999,116.871,102.234,20.004,105.797,1
110.239,0.326,-0.006,3180.0,0.677,8713395365933.0,5.1918603660889e+26,3.498,50.328,0.675,116.533,100.737,20.032,104.437,1
110.788,0.317,-0.006999999999999999,2330.0,0.701,9381995875102.0,5.343482702078601e+26,3.626,50.442,1.01,116.134,100.583,20.043,103.539,1
111.298,0.307,-0.006999999999999999,2545.0,0.631,9998742855170.0,5.2696287626604e+26,3.2510000000000003,50.435,1.071,115.826,102.172,20.043,103.57,1
111.755,0.297,-0.006999999999999999,2969.0,0.695,10563636306135.0,4.6803337009059e+26,3.588,50.797,1.091,115.556,103.914,20.077,103.953,1
112.201,0.287,-0.006999999999999999,2897.0,0.71,11076676227999.0,4.1621752011546e+26,3.665,50.722,1.788,115.241,105.225,20.07,104.422,1
112.672,0.277,-0.006,2966.0,0.7390000000000001,11537862620761.0,3.9629445255563e+26,3.819,50.861,1.017,114.887,105.829,20.083,104.834,1
113.105,0.267,-0.006,2732.0,0.6659999999999999,12039840093389.0,4.0968939926759995e+26,3.4360000000000004,50.473,1.252,114.386,104.83,20.048,104.543,1
113.466,0.256,-0.005,2511.0,0.635,12616539901603.0,4.1991735028002e+26,3.267,50.81800000000001,0.795,113.622,103.075,20.08,103.827,1
113.764,0.246,-0.005,2541.0,0.49,13153769000563.0,3.824265770399e+26,2.502,50.837,1.038,112.647,100.41,20.082,102.49,1
113.964,0.235,-0.004,2585.0,0.36,13651527390268.0,3.5200040049389e+26,1.829,50.254,0.857,111.597,98.396,20.03,101.179,1
114.1,0.224,-0.004,2560.0,0.343,14109815070719.0,3.5651820180131e+26,1.743,50.502,0.921,110.585,97.828,20.052,100.384,1
114.211,0.214,-0.003,2646.0,0.222,14528632041915.0,3.0910461153657e+26,1.12,50.842,0.7340000000000001,109.614,97.174,20.083,99.438,1
114.264,0.203,-0.003,2374.0,0.146,14907978303857.0,2.8258494276677003e+26,0.731,51.057,1.129,108.475,94.654,20.103,97.639,1
114.267,0.192,-0.002,2292.0,0.299,15394620945548.0,2.5325332605966e+26,1.507,51.519,0.5770000000000001,107.209,91.488,20.145,95.55,1
114.213,0.181,-0.001,1973.0,0.185,16060496285642.0,2.497016913711e+26,0.927,51.547,0.759,105.989,90.04899999999998,20.147,94.119,1
113.966,0.16899999999999998,0.0,2033.0,0.187,16673454331131.0,2.3505831262831003e+26,0.934,52.242,0.613,104.613,87.62700000000002,20.211,91.991,1
113.558,0.158,0.001,1929.0,0.264,17233495082015.0,2.3455589182179998e+26,1.32,52.675,0.925,103.248,85.109,20.251,89.795,1
113.089,0.147,0.002,2107.0,0.272,17740618538294.0,2.453724321277e+26,1.359,52.792,0.612,101.951,82.714,20.262,87.70200000000001,1
112.532,0.135,0.004,1745.0,0.514,18235015089170.0,2.6725636467549e+26,2.594,53.707,0.565,100.577,80.23899999999998,20.347,85.39200000000002,1
111.853,0.124,0.005,1830.0,0.596,18760548192162.0,3.0089476445020002e+26,3.004,54.558,0.6970000000000001,99.008,76.232,20.429,82.29799999999999,1
111.007,0.112,0.006999999999999999,1642.0,0.777,19239992594167.0,3.375667994646e+26,3.93,55.708,0.637,97.228,70.416,20.543000000000006,78.223,1
109.965,0.1,0.01,1573.0,0.846,19673348295183.0,3.9225754197728e+26,4.297,55.605,0.397,95.72,69.045,20.535,76.105,1
108.611,0.08900000000000001,0.012,1785.0,0.877,20060615295212.0,4.2315886322276e+26,4.4510000000000005,56.166,0.682,94.485,71.025,20.592,75.46600000000002,1
107.433,0.077,0.015,1654.0,0.838,20401793594254.0,4.6482831123879e+26,4.239,56.25100000000001,0.7490000000000001,93.37,72.388,20.6,74.723,1
107.0,0.065,0.018000000000000002,1892.0,0.385,20696883192307.0,4.783438363294999e+26,1.908,55.927,0.541,92.435,74.417,20.575,75.039,1
106.878,0.053,0.02,1485.0,0.458,21999440010213.0,6.2484363312337e+26,2.275,56.117,0.809,91.599,78.161,20.594,76.654,1
106.729,0.041,0.023,1449.0,0.368,23233030431109.0,7.2795065661004e+26,1.83,55.006,0.7959999999999999,90.831,82.331,20.506,78.741,1
106.687,0.03,0.026,1830.0,0.268,24382207146891.0,7.325301052112499e+26,1.33,53.903,0.852,90.203,85.964,20.417,81.079,1
106.699,0.018000000000000002,0.028,1731.0,-0.026,25446970157561.0,7.6496348657272e+26,-0.127,53.209,0.5329999999999999,89.713,87.609,20.359,82.848,1
106.857,0.006,0.03,1698.0,-0.196,26427319463116.0,7.741188388404201e+26,-0.957,52.76300000000001,0.544,89.348,88.715,20.322,84.46,1
106.993,-0.005,0.031,1693.0,-0.105,27379933705045.0,7.9954982007343e+26,-0.517,52.309,0.871,89.0,89.42,20.283,85.82600000000002,1
106.927,-0.017,0.032,1902.0,-0.077,28387180321968.0,8.2710717813705e+26,-0.379,53.01600000000001,0.73,88.598,89.245,20.35,86.56299999999997,1
106.703,-0.028,0.034,1543.0,0.24,29321476995436.0,8.455745792888001e+26,1.175,56.137,0.924,88.025,87.821,20.664,86.54299999999998,1
106.362,-0.039,0.035,1643.0,0.004,30182823725449.0,7.4700232986321e+26,0.018000000000000002,54.806,0.494,87.316,85.542,20.55,85.867,1
106.024,-0.051,0.036000000000000004,1644.0,-0.002,30971220512007.0,7.5947728638096e+26,-0.01,54.43899999999999,0.494,86.584,84.289,20.518,85.365,1
105.694,-0.062,0.037000000000000005,1731.0,0.01,31686667355111.0,7.9032060764433e+26,0.047,54.532,0.494,85.844,83.87,20.528,84.99600000000002,1
105.287,-0.073,0.039,1337.0,0.019,32571067958192.0,9.1591344649101e+26,0.092,54.639,0.7909999999999999,85.19200000000002,83.98899999999998,20.539,84.772,1
104.736,-0.084,0.04,1256.0,0.16899999999999998,34551009323570.0,9.4854714960785e+26,0.83,53.942,0.607,84.64399999999998,84.635,20.479,84.889,1
104.144,-0.095,0.04,1552.0,0.121,36408353862601.0,8.7173010499533e+26,0.593,54.179,0.8909999999999999,84.242,85.64200000000002,20.503,85.273,1
103.643,-0.106,0.041,1361.0,0.086,38143101575284.0,8.1482202977569e+26,0.422,54.207,0.92,83.93,86.95200000000001,20.506,85.92299999999999,1
103.231,-0.117,0.042,1451.0,0.309,39755252461621.0,8.4221480273228e+26,1.5319999999999998,53.848,0.495,83.63600000000002,88.292,20.476,86.741,1
102.836,-0.128,0.042,1549.0,0.31,41244806521610.0,8.2731035914126e+26,1.536,54.03,0.7090000000000001,83.367,88.63,20.494,87.182,1
102.367,-0.138,0.043,1326.0,0.445,42611763755251.0,9.1207031656561e+26,2.218,54.111,0.5670000000000001,83.23700000000002,88.544,20.501,87.475,1
101.886,-0.149,0.043,1602.0,0.505,44018597552125.0,8.7737304668355e+26,2.512,55.027,0.682,83.302,89.822,20.592,88.416,1
101.535,-0.159,0.043,1595.0,0.469,45351713148531.0,9.759089409607399e+26,2.326,55.347,0.763,83.41,91.664,20.625,89.575,1
101.368,-0.16899999999999998,0.044,1529.0,0.528,46574058204115.0,1.0666359685696e+27,2.613,56.496,1.03,83.756,94.223,20.743,91.181,1
101.292,-0.18,0.045,1440.0,0.436,47685632718876.0,1.099296602778e+27,2.154,55.539,0.862,84.178,95.446,20.665,92.354,1
101.186,-0.19,0.045,1611.0,0.472,48686436692814.0,1.1022186906179001e+27,2.336,55.63800000000001,0.605,84.647,95.706,20.675,93.14,1
