size3mom,price3rsiUSD,mining_profitability3roc,activeaddresses30mom,size30rsi,hashrate14mom,mediantransactionvalue7rsiUSD,mining_profitability7std,median_transaction_fee3trxUSD,mediantransactionvalue14rocUSD,size30trx,price7varUSD,mediantransactionvalue14rsiUSD,size30std,sentinusdUSD,priceUSD,sentbyaddress30var,hashrate3std,hashrate90roc,hashrate7trx,price7momUSD,top100cap,confirmationtime3ema,mediantransactionvalue14smaUSD,confirmationtime30ema,mediantransactionvalueUSD,median_transaction_fee7rocUSD,difficulty14var,category
-44280.0,52.681,17.000999999999998,-27885,49.14,-1172545594051.0,42.015,1387.0,-2.4290000000000003,-19.346,0.114,134.569,45.994,47593.0,71942421.0,113.464,108015296,4189584453790.0,183.009,0.371,-10.581,20.175,9.195,77.112,9.034,59.378,-8.53,280708674765.0,0
-19293.0,51.062,8.149,2124,49.917,14524594392038.0,45.088,1004.0,-1.234,-24.721,0.108,106.394,47.092,47487.0,96534774.0,113.005,108807786,11339284884099.0,227.888,0.5870000000000001,-17.555,20.096,8.935,75.604,9.011,64.307,-13.446,289399573051.0,0
13075.0,40.39,-1.5830000000000002,22023,50.5,11238482538711.0,48.752,876.99,-0.787,-3.035,0.103,42.871,48.398,45560.0,107023476.0,110.375,107832355,9897224329105.0,233.231,0.815,-24.089,20.097,8.753,75.447,8.982999999999997,70.008,-17.915,285698664212.0,0
3947.0,36.952,-14.474,-11455,49.40600000000001,11259896695807.0,52.663,699.08,-0.649,-2.222,0.096,13.878,49.813,44606.0,90740823.0,109.595,104617382,2334009787987.0,255.233,1.023,-15.067,20.126,8.74,75.324,8.966000000000003,76.058,-12.087,269605948247.0,0
25941.0,30.996,-0.274,-30135,51.83600000000001,11634620914096.0,42.584,688.8710000000002,-0.6709999999999999,-34.273,0.094,13.423,46.18600000000001,45110.0,74950425.0,108.42,93556375,2026891054893.0,236.345,1.118,-2.629,20.137,8.76,73.09,8.954,59.976000000000006,-2.367,241121425158.0,1
19599.0,51.957,3.623,-49112,51.948,4452018882014.0,42.583,566.948,-0.382,-34.302,0.095,6.956,46.18600000000001,45887.0,100688626.0,110.54,67216693,2110220109820.0,253.443,1.144,7.845,20.063,8.566,70.85300000000002,8.917,59.973,7.64,200245094944.0,1
34040.0,66.215,10.657,-43692,51.947,14602570493627.0,34.841,600.658,0.073,-46.111,0.1,3.0660000000000003,43.082,43082.0,75441336.0,112.503,51842614,4032110983056.0,246.708,1.199,7.462999999999999,20.028,8.238999999999999,68.02600000000001,8.852,46.253,7.104,146976957604.0,0
-6949.0,56.426,-4.464,-33356,51.24,20339891464420.0,40.919,459.18300000000005,12.858,-27.107,0.105,2.279,45.012,43399.0,62390388.0,111.738,49602649,6425298960813.0,238.915,1.315,-1.726,20.009,8.405,66.62100000000001,8.834,52.908,96.958,87707284768.0,1
-21846.0,61.976000000000006,-10.24,-41,50.124,16527860657063.0,51.716,521.7719999999998,5.856,-27.043000000000006,0.109,1.888,48.85,42592.0,125456476.0,112.241,49646968,6528887944946.0,303.574,1.493,-0.764,20.001,8.341000000000001,64.858,8.798,66.581,-0.6759999999999999,88956718419.0,0
11283.0,26.17,-21.19,12326,52.75899999999999,11580284715623.0,44.919,766.921,-0.108,-24.836,0.117,2.456,46.37600000000001,44201.0,84787681.0,108.635,47079363,4139410785618.0,266.088,1.547,-1.74,20.022,8.846,63.51600000000001,8.833,56.878,-1.5759999999999998,149386962071.0,0
35816.0,13.246,-11.763,-15489,53.98,6702476088223.0,48.911,940.081,-3.353,-29.828000000000007,0.131,6.875,47.826,47408.0,78354482.0,104.575,46402776,11473541845467.0,204.177,1.336,-5.019,20.046,9.529,61.639,8.922,61.822,-4.58,203512504823.0,1
32346.0,39.857,-3.798,-16203,52.50899999999999,10523266724954.0,53.302,942.449,-4.166,-5.385,0.146,7.685,49.463,48493.0,77014581.0,107.0,40553763,8930064171880.0,198.728,1.022,-1.42,20.142,9.629,61.365,8.974,67.321,-1.31,245043738458.0,1
-27910.0,63.823,12.008,-26801,50.228,15549716237242.0,54.094,819.789,-3.463,-4.106,0.159,7.6720000000000015,49.755,48405.0,93853220.0,110.492,38697017,4509718136678.0,185.157,0.797,-0.048,20.111,9.287,61.15600000000001,8.972999999999997,68.267,-0.043,273980662976.0,1
-50445.0,74.118,13.478,-13743,49.69600000000001,6933664940720.0,63.16,504.901,-2.227,72.275,0.16699999999999998,7.943,53.364,47339.0,83989189.0,112.815,41023571,4568832636066.0,163.02,0.546,0.312,20.113,9.476,63.555,9.017,80.035,0.278,290323278377.0,1
-59570.0,74.539,-0.958,-40789,47.6,14905933585727.0,43.554,481.05,-1.23,-3.932,0.168,8.809,46.357,46387.0,47379763.0,112.905,37530974,7132531171195.0,178.859,0.478,1.167,20.098,9.353,63.38800000000001,9.031,57.043,-49.478,294071584662.0,1
6966.0,76.421,-10.282,-2825,50.853,-8206377856612.0,56.418,480.611,-0.5710000000000001,17.843,0.16899999999999998,9.588,51.901,46263.0,60837821.0,113.2,38242947,9790196097998.0,173.205,0.275,0.959,20.11,10.258,64.208,9.168,75.782,0.8540000000000001,285225581830.0,1
6464.0,86.779,8.17,12698,50.282,-5948717707139.0,63.228,655.867,0.018000000000000002,26.891,0.17,12.505999999999998,55.361,42640.0,77319212.0,115.28,37220496,11118034526796.0,150.99200000000005,0.034,6.645,20.084,9.897,65.55199999999999,9.192,88.835,6.117000000000001,263785269881.0,1
17328.0,90.852,5.608,-16915,49.047,2963925815646.0,64.811,547.352,0.456,21.032,0.166,8.596,56.198,41885.0,85667561.0,116.686,37312028,9356022666493.0,156.382,0.002,12.11,20.132,9.564,66.695,9.195,92.055,11.581,229750648816.0,1
-18699.0,94.492,23.231,-9911,49.334,7433807808716.0,62.84,693.948,0.8170000000000001,50.13399999999999,0.161,6.549,55.49800000000001,42078.0,84036763.0,118.696,33954545,10686007299476.0,201.811,0.1,11.696,20.112,8.92,68.843,9.135,90.044,10.931,183121718634.0,1
-15005.0,98.0,-0.758,-17576,49.057,11669971691389.0,68.27199999999999,734.727,1.523,66.32600000000001,0.154,15.597,58.205,40102.0,94140778.0,124.605,29841912,5745691353051.0,209.921,0.325,14.113,20.143,8.72,71.684,9.096,99.751,12.773,123898479335.0,1
-9880.0,98.671,7.612,-21146,48.2,7478298571606.0,47.82,761.0089999999999,2.043,63.033,0.14300000000000002,27.919,49.994,40862.0,93434849.0,127.725,27718439,4458459276683.0,218.164,0.5579999999999999,14.909,19.901,8.724,73.766,9.072,75.408,13.216,59068577424.0,1
-28879.0,98.859,-8.181000000000001,-16548,46.875,8077228158258.0,53.74,685.425,2.105,59.37600000000001,0.127,33.594,52.629,42768.0,49520215.0,128.75,29197515,4158033030434.0,200.755,0.828,15.845,19.908,8.779,76.01,9.057,84.322,14.034,63920110792.0,0
-10420.0,91.37,-2.475,-4265,48.305,9231848985040.0,46.18,368.733,1.7619999999999998,10.089,0.109,29.216,49.177,42675.0,84997756.0,128.355,29282310,7966902384209.0,236.781,1.15,15.155,19.976,8.48,76.49,9.0,73.29899999999998,13.388,113710098569.0,0
20572.0,52.015,-6.8039999999999985,-41833,50.22,5452898142897.0,57.102,401.305,1.052,58.935,0.093,19.922,54.19600000000001,38816.0,88225071.0,125.725,28384441,6952778519531.0,180.573,1.266,10.445,19.977,8.797,78.884,9.008,90.398,9.061,153975045207.0,1
26678.0,59.099,0.595,-6407,49.363,18900155293069.0,62.083,364.843,0.598,61.573,0.078,10.174,56.74800000000001,38045.0,99811971.0,126.43,28281716,6889169647056.0,211.172,1.332,9.745,19.927,8.684,81.60300000000002,8.979,99.887,8.351,184714950705.0,1
7734.0,67.431,2.149,1311,49.021,22242012814225.0,55.481,281.269,0.409,35.993,0.063,1.881,53.907,38263.0,79542167.0,127.245,26971965,5784947539340.0,230.995,1.392,8.548,19.946,8.363999999999999,83.334,8.919,91.552,7.202000000000001,205929815062.0,0
-22231.0,51.552,-2.974,-8136,48.198,24013647716714.0,62.89,351.534,0.215,53.758,0.047,1.054,57.587,39191.0,85240132.0,126.424,26607156,8043525566033.0,242.092,1.531,1.819,19.878,8.297,85.956,8.875,104.966,1.46,217619638280.0,1
