activeaddresses30trx,mining_profitability90trx,priceUSD,price30varUSD,price30stdUSD,mining_profitability90sma,sentinusd90varUSD,top100cap14trx,top100cap90wma,price90rocUSD,hashrate14std,price30momUSD,difficulty90std,price90momUSD,top100cap30roc,mining_profitability3wma,difficulty7trx,top100cap30rsi,top100cap,price7momUSD,price7rsiUSD,top100cap14roc,price3trxUSD,top100cap14mom,mediantransactionvalueUSD,category
0.59,0.51,108.42,405.733,40.286,5789.0,1.00386612579392e+16,0.019,19.949,392.975,10847649238468.0,-86.976,4642661.0,86.427,2.145,5434.0,0.892,53.86600000000001,20.137,-2.629,40.592,-1.203,-0.6709999999999999,-0.245,59.976000000000006,0
0.563,0.511,110.54,259.572,32.222,5815.0,9972158298114880.0,0.012,19.956,384.918,11255416901385.0,-67.96,4668870.0,87.744,1.5219999999999998,5591.0,0.7879999999999999,51.765,20.063,7.845,44.793,-1.746,-0.382,-0.35700000000000004,59.973,0
0.534,0.511,112.503,259.128,32.195,5839.0,9905830940944180.0,0.005,19.962,383.653,11876775703063.0,-2.497,4690065.0,89.241,-0.799,5793.0,0.687,50.798,20.028,7.462999999999999,48.713,-0.685,0.073,-0.138,46.253,1
0.501,0.511,111.738,247.201,31.445,5857.0,9853815044336460.0,-0.002,19.968,371.367,12607694765462.0,19.292,4714220.0,88.03200000000002,-0.628,5537.0,0.63,50.262,20.009,-1.726,47.18899999999999,-0.8640000000000001,0.226,-0.174,52.908,1
0.469,0.51,112.241,241.146,31.058000000000003,5875.0,9758856687342430.0,-0.008,19.973,365.605,14745369923495.0,13.806,4767904.0,88.134,-0.6779999999999999,5310.0,0.73,50.038,20.001,-0.764,48.428,-0.276,0.292,-0.055,66.581,1
0.438,0.509,108.635,227.512,30.167,5880.0,9676815319587700.0,-0.014,19.978,347.952,15404465872104.0,16.785999999999998,4814574.0,84.383,-0.631,4928.0,0.866,50.62300000000001,20.022,-1.74,40.494,-0.33,-0.128,-0.066,56.878,1
0.409,0.507,104.575,207.533,28.812,5891.0,9616811611981970.0,-0.019,19.984,315.574,14852116649998.0,17.467,4854432.0,79.411,-1.663,4714.0,0.98,51.337,20.046,-5.019,33.324,-0.545,-0.84,-0.11,61.822,1
0.381,0.504,107.0,158.959,25.216,5897.0,9549984663825150.0,-0.021,19.992,305.8640000000001,13247475697830.0,31.957,4887645.0,80.63600000000002,-1.833,4799.0,1.0490000000000002,54.026,20.142,-1.42,40.648,-0.362,-0.862,-0.073,67.321,1
0.353,0.502,110.492,113.564,21.313,5909.0,9467132849044260.0,-0.023,20.0,316.266,11100119803771.0,32.757,4914349.0,83.948,-1.364,5041.0,1.069,53.041,20.111,-0.048,49.893,-0.585,-0.279,-0.118,68.267,1
0.322,0.499,112.815,99.055,19.905,5922.0,9384774788629090.0,-0.023,20.007,325.003,9775393105161.0,18.136,4934647.0,86.27,-1.537,5177.0,1.048,53.103,20.113,0.312,55.299,-0.445,0.394,-0.09,80.035,1
0.287,0.495,112.905,96.427,19.639,5939.0,9356562758512420.0,-0.023,20.013,325.655,8359512720221.0,6.205,4960435.0,86.38,-1.596,5074.0,0.997,52.604,20.098,1.167,55.51600000000001,-0.382,0.6990000000000001,-0.077,57.043,1
0.251,0.491,113.2,96.632,19.66,5949.0,9321660484358030.0,-0.023,20.019,308.758,9208430061390.0,-1.28,4980809.0,85.506,-2.126,4859.0,0.924,52.963,20.11,0.959,56.324,0.067,0.748,0.014,75.782,1
0.22,0.487,115.28,96.537,19.651,5961.0,9254181247683940.0,-0.022,20.025,298.335,9987676000619.0,0.986,4995489.0,86.339,-2.125,5202.0,0.8390000000000001,52.084,20.084,6.645,62.017,-0.066,0.88,-0.013,88.835,1
0.189,0.483,116.686,96.287,19.625,5977.0,9169196776245630.0,-0.021,20.032,298.53,10110566596977.0,3.151,5004525.0,87.406,-1.883,5265.0,0.75,53.57,20.132,12.11,65.556,0.027000000000000003,0.999,0.006,92.055,1
0.161,0.479,118.696,95.812,19.577,5995.0,9115962817550460.0,-0.02,20.037,305.7290000000001,10285572344926.0,-2.084,5007947.0,89.441,-1.986,5567.0,0.66,52.878,20.112,11.696,70.191,-0.122,1.149,-0.025,90.044,1
0.138,0.474,124.605,86.575,18.609,6013.0,9036099626129640.0,-0.018000000000000002,20.044,329.53,11183758827335.0,-10.195,5005767.0,95.595,-0.8240000000000001,5591.0,0.575,53.852,20.143,14.113,79.601,0.399,1.725,0.08,99.751,1
