mining_profitability90wma,price90emaUSD,price90smaUSD,price90stdUSD,difficulty14sma,mining_profitability30sma,mining_profitability90trx,median_transaction_fee90rocUSD,median_transaction_feeUSD,difficulty90var,difficulty14trx,price30varUSD,price90momUSD,price30wmaUSD,price3wmaUSD,fee_to_reward30stdUSD,price7smaUSD,mining_profitability,transactionfees90rsiUSD,category
5389.0,101.502,109.638,48.749,14713094.0,4669.0,0.336,128.201,0.0501,8584355969811.0,1.439,72.793,56.319,114.604,102.234,0.374,104.95,3173.0,51.042,0
5327.0,101.477,110.239,46.908,14984188.0,4600.0,0.326,116.939,0.0502,8713395365933.0,1.433,80.415,54.095,113.539,100.737,0.38,104.153,3180.0,50.088,0
5247.0,101.463,110.788,45.267,15497463.0,4504.0,0.317,96.268,0.0504,9381995875102.0,1.482,87.99799999999998,49.464,112.527,100.583,0.38,103.694,2330.0,50.46100000000001,0
5172.0,101.511,111.298,43.878,16010737.0,4425.0,0.307,79.49600000000002,0.0518,9998742855170.0,1.557,92.74,45.91,111.722,102.172,0.375,103.28,2545.0,50.664,0
5108.0,101.59,111.755,42.74,16430202.0,4367.0,0.297,64.253,0.0526,10563636306135.0,1.638,96.269,41.115,111.03,103.914,0.358,102.86,2969.0,50.589,0
5043.0,101.683,112.201,41.633,16696889.0,4276.0,0.287,60.978,0.0529,11076676227999.0,1.713,99.323,40.086,110.403,105.225,0.448,102.7,2897.0,53.253,0
4980.0,101.78,112.672,40.363,16963577.0,4201.0,0.277,66.738,0.053,11537862620761.0,1.773,101.93,42.456,109.811,105.829,0.439,103.159,2966.0,51.12,0
4913.0,101.821,113.105,39.116,17230264.0,4100.0,0.267,60.06100000000001,0.0518,12039840093389.0,1.814,105.389,38.901,109.087,104.83,0.4370000000000001,103.648,2732.0,52.538,0
4842.0,101.818,113.466,38.072,17496952.0,3997.0,0.256,47.052,0.0508,12616539901603.0,1.835,106.707,32.534,108.268,103.075,0.443,103.837,2511.0,50.592,0
4772.0,101.745,113.764,37.17,17763639.0,3895.0,0.246,37.34,0.0492,13153769000563.0,1.837,106.773,26.774,107.29,100.41,0.441,103.499,2541.0,50.605,0
4704.0,101.646,113.964,36.614,18030327.0,3804.0,0.235,22.729,0.0486,13651527390268.0,1.82,104.932,18.01,106.297,98.396,0.435,102.582,2585.0,49.99800000000001,0
4636.0,101.566,114.1,36.283,18297015.0,3708.0,0.224,14.283,0.049,14109815070719.0,1.788,100.711,12.248,105.42,97.828,0.435,101.567,2560.0,50.569,0
4571.0,101.457,114.211,36.005,18563702.0,3622.0,0.214,11.559,0.0483,14528632041915.0,1.743,98.647,10.009,104.517,97.174,0.424,100.249,2646.0,49.58600000000001,0
4501.0,101.254,114.264,35.861,18830390.0,3523.0,0.203,5.474,0.0461,14907978303857.0,1.686,97.984,4.787,103.397,94.654,0.418,98.274,2374.0,50.684,0
4430.0,100.991,114.267,35.853,19156976.0,3414.0,0.192,0.262,0.0446,15394620945548.0,1.634,96.917,0.233,102.158,91.488,0.442,96.218,2292.0,49.39100000000001,1
4353.0,100.746,114.213,35.986,19541734.0,3310.0,0.181,-5.159,0.0449,16060496285642.0,1.6,93.193,-4.887,101.037,90.04899999999998,0.448,94.525,1973.0,50.457,1
4279.0,100.413,113.966,36.459,19684310.0,3183.0,0.16899999999999998,-20.549,0.0428,16673454331131.0,1.575,90.558,-22.141,99.722,87.62700000000002,0.46,92.687,2033.0,49.124,1
4205.0,100.035,113.558,37.001,19826887.0,3083.0,0.158,-30.665,0.0416,17233495082015.0,1.551,91.27,-36.798,98.341,85.109,0.46,90.68,1929.0,50.044,1
4135.0,99.626,113.089,37.545,19969463.0,2980.0,0.147,-34.103,0.0407,17740618538294.0,1.525,95.736,-42.13800000000001,96.933,82.714,0.472,88.31200000000003,2107.0,49.628,1
4060.0,99.161,112.532,38.091,20112040.0,2867.0,0.135,-39.019,0.0392,18235015089170.0,1.494,101.759,-50.203,95.417,80.23899999999998,0.49,85.721,1745.0,49.104,1
3988.0,98.586,111.853,38.701,20254616.0,2794.0,0.124,-45.556,0.0365,18760548192162.0,1.4580000000000002,111.917,-61.097,93.639,76.232,0.476,82.975,1830.0,49.618,1
3914.0,97.87,111.007,39.341,20397193.0,2721.0,0.112,-53.547,0.033,19239992594167.0,1.416,131.22299999999998,-76.08,91.51,70.416,0.485,79.649,1642.0,49.41,1
3840.0,97.252,109.965,38.682,20539769.0,2649.0,0.1,-57.355,0.0349,19673348295183.0,1.368,143.57,-93.81,89.73700000000002,69.045,0.515,76.78,1573.0,48.724,1
3773.0,96.731,108.611,34.979,20682346.0,2581.0,0.08900000000000001,-62.359,0.0368,20060615295212.0,1.3159999999999998,151.065,-121.847,88.306,71.025,0.517,75.058,1785.0,49.51300000000001,1
3706.0,96.198,107.433,32.54,20824922.0,2531.0,0.077,-59.387,0.0362,20401793594254.0,1.261,161.57299999999995,-106.006,86.88799999999998,72.388,0.519,73.528,1654.0,49.54600000000001,1
3647.0,95.754,107.0,33.159,20967499.0,2482.0,0.065,-33.923,0.038,20696883192307.0,1.203,166.96,-39.011,85.766,74.417,0.53,72.751,1892.0,49.107,1
3580.0,95.441,106.878,33.45,21450936.0,2409.0,0.053,-11.84,0.0407,21999440010213.0,1.204,163.602,-10.946,85.061,78.161,0.525,73.185,1485.0,49.752,1
3514.0,95.211,106.729,33.719,21938338.0,2335.0,0.041,-13.65,0.0425,23233030431109.0,1.24,155.444,-13.436,84.635,82.331,0.525,74.89699999999998,1449.0,49.245,1
3457.0,95.055,106.687,33.801,22365840.0,2288.0,0.03,-4.087,0.044,24382207146891.0,1.291,146.643,-3.754,84.458,85.964,0.525,78.054,1830.0,50.252,1
3399.0,94.903,106.699,33.775,22710665.0,2232.0,0.018000000000000002,1.204,0.0441,25446970157561.0,1.345,141.207,1.0490000000000002,84.32600000000002,87.609,0.536,80.683,1731.0,49.417,1
3341.0,94.78,106.857,33.31,23055489.0,2183.0,0.006,18.993,0.0446,26427319463116.0,1.393,137.378,14.252,84.29899999999998,88.715,0.546,82.932,1698.0,49.267,1
3284.0,94.673,106.993,32.931999999999995,23400314.0,2133.0,-0.005,15.683,0.045,27379933705045.0,1.43,133.23,12.191,84.337,89.42,0.5429999999999999,85.42299999999999,1693.0,50.424,1
3232.0,94.544,106.927,33.054,23745139.0,2119.0,-0.017,-6.2360000000000015,0.0444,28387180321968.0,1.454,128.392,-5.904,84.322,89.245,0.54,87.249,1902.0,50.077,1
3173.0,94.366,106.703,33.33,24089964.0,2086.0,-0.028,-18.948,0.0432,29321476995436.0,1.463,120.648,-20.217,84.186,87.821,0.5329999999999999,87.961,1543.0,50.282,1
3118.0,94.135,106.362,33.63,24434788.0,2041.0,-0.039,-26.766,0.0419,30182823725449.0,1.459,111.007,-30.642,83.916,85.542,0.535,87.795,1643.0,49.027,1
3064.0,93.909,106.024,33.915,24779613.0,2000.0,-0.051,-26.63,0.0419,30971220512007.0,1.4409999999999998,99.449,-30.437,83.69200000000002,84.289,0.399,87.19,1644.0,49.408,1
3013.0,93.689,105.694,34.192,25124438.0,1958.0,-0.062,-26.112,0.0419,31686667355111.0,1.413,86.485,-29.646,83.51899999999998,83.87,0.397,86.58,1731.0,49.448,1
2954.0,93.478,105.287,34.337,25542035.0,1912.0,-0.073,-30.369,0.0421,32571067958192.0,1.386,75.568,-36.68,83.406,83.98899999999998,0.348,85.838,1337.0,49.902,1
2895.0,93.297,104.736,34.014,26250723.0,1870.0,-0.084,-36.766,0.0426,34551009323570.0,1.403,66.207,-49.56,83.40899999999998,84.635,0.349,85.169,1256.0,49.01600000000001,1
2844.0,93.146,104.144,33.407,26959411.0,1837.0,-0.095,-38.153,0.0432,36408353862601.0,1.4409999999999998,59.772,-53.315,83.524,85.64200000000002,0.335,84.833,1552.0,50.06800000000001,1
2790.0,93.03,103.643,33.014,27327238.0,1796.0,-0.106,-33.901,0.0439,38143101575284.0,1.485,54.477,-45.069,83.758,86.95200000000001,0.339,85.03200000000002,1361.0,49.948,1
2740.0,92.946,103.231,32.797,27691101.0,1759.0,-0.117,-29.389,0.0446,39755252461621.0,1.526,48.716,-37.12300000000001,84.098,88.292,0.338,85.79700000000003,1451.0,49.073,1
2693.0,92.848,102.836,32.641,28054964.0,1723.0,-0.128,-28.65,0.0443,41244806521610.0,1.557,43.832,-35.539,84.412,88.63,0.338,86.461,1549.0,50.262,1
2643.0,92.75,102.367,32.244,28418828.0,1688.0,-0.138,-32.328,0.0442,42611763755251.0,1.5759999999999998,42.018,-42.207,84.734,88.544,0.3,87.09899999999998,1326.0,49.418,1
2601.0,92.716,101.886,31.599,28782691.0,1665.0,-0.149,-32.145,0.0456,44018597552125.0,1.58,42.931,-43.224,85.25,89.822,0.298,88.119,1602.0,49.826,1
2559.0,92.724,101.535,31.28,29146554.0,1652.0,-0.159,-25.358,0.0465,45351713148531.0,1.571,44.667,-31.612,85.87899999999998,91.664,0.298,89.234,1595.0,50.512,1
2517.0,92.796,101.368,31.235,29510417.0,1635.0,-0.16899999999999998,-13.552,0.048,46574058204115.0,1.5490000000000002,49.67,-15.049,86.691,94.223,0.322,90.602,1529.0,51.002,1
2474.0,92.863,101.292,31.255,29874281.0,1619.0,-0.18,-6.64,0.0479,47685632718876.0,1.516,54.377,-6.819,87.473,95.446,0.317,91.745,1440.0,50.04600000000001,1
2436.0,92.921,101.186,31.268,30238144.0,1603.0,-0.19,-9.087,0.0477,48686436692814.0,1.473,58.173,-9.545,88.20299999999997,95.706,0.317,92.646,1611.0,49.309,1
2391.0,92.975,100.985,31.182,30808252.0,1587.0,-0.2,-15.945,0.0477,50461392016643.0,1.449,60.413,-18.092,88.895,95.497,0.315,93.626,1272.0,49.362,1
2349.0,93.01,100.78,31.106,31610388.0,1571.0,-0.209,-16.33,0.0473,53288548508943.0,1.463,57.849,-18.453,89.49799999999998,94.982,0.315,94.512,1351.0,49.948,1
2307.0,93.064,100.614,31.059,32339750.0,1559.0,-0.219,-13.513,0.0477,55931460628160.0,1.496,46.674,-14.915,90.113,95.142,0.316,95.115,1283.0,49.25100000000001,1
2268.0,93.148,100.473,31.01,32778022.0,1552.0,-0.229,-11.59,0.0484,58390128374294.0,1.533,39.36,-12.702,90.757,96.024,0.303,95.663,1365.0,50.152,1
2228.0,93.241,100.351,30.97,33216294.0,1536.0,-0.238,-10.173,0.0487,60664551747346.0,1.5659999999999998,35.0,-11.03,91.374,96.902,0.303,95.862,1299.0,49.315,1
2191.0,93.3,100.188,30.908,33654565.0,1527.0,-0.248,-13.215,0.048,62754730747315.0,1.589,27.518,-14.608,91.847,96.578,0.316,95.87,1388.0,50.428,1
2150.0,93.319,99.985,30.822,34092837.0,1503.0,-0.257,-16.288,0.0471,64660665374201.0,1.6,21.926,-18.324,92.155,95.298,0.315,95.682,1178.0,50.51,1
2114.0,93.321,99.781,30.751,34531109.0,1498.0,-0.266,-58.214,0.0467,66436616984128.0,1.597,19.743,-18.356,92.374,94.072,0.319,95.398,1341.0,49.331,1
2078.0,93.315,99.567,30.669,34969381.0,1492.0,-0.276,-17.109,0.0465,68240065929446.0,1.581,18.934,-19.203,92.544,93.342,0.32,95.182,1268.0,50.362,1
2042.0,93.329,99.405,30.63,35407653.0,1472.0,-0.285,-13.482,0.047,69873952236512.0,1.5530000000000002,19.045,-14.646,92.759,93.571,0.327,94.971,1234.0,49.117,1
