difficulty14trx,fee_to_rewardUSD,median_transaction_fee90rocUSD,median_transaction_feeUSD,mining_profitability14var,mining_profitability30trx,mining_profitability3wma,price30varUSD,price30wmaUSD,priceUSD,sentinusd90stdUSD,size90ema,top100cap90mom,transactionvalue90trxUSD,category
0.855,1.137,343.935,0.0639,133525.0,-0.20199999999999999,5631.0,72.165,114.305,127.725,189513580,165227.0,0.655,0.77,0
0.8420000000000001,0.7709999999999999,347.056,0.0644,134670.0,-0.22,5456.0,67.865,115.15700000000001,128.75,189589907,164525.0,0.69,0.7559999999999999,0
0.84,1.103,340.462,0.0642,139237.0,-0.23600000000000002,5430.0,69.483,115.992,128.355,189031386,164173.0,0.728,0.742,0
0.841,1.3719999999999999,321.21,0.0629,117180.0,-0.25,5315.0,70.53399999999999,116.654,125.725,188400077,164290.0,0.742,0.728,0
0.8420000000000001,1.23,303.086,0.0632,83960.0,-0.263,5322.0,66.944,117.35799999999999,126.43,187675617,164196.0,0.68,0.7140000000000001,0
0.841,1.053,282.851,0.0636,80107.0,-0.27399999999999997,5435.0,59.442,118.12200000000001,127.245,187298143,164021.0,0.713,0.7,0
0.836,1.023,281.737,0.0632,84342.0,-0.284,5282.0,60.659,118.85,126.42399999999999,186753167,163653.0,0.609,0.6859999999999999,0
0.8270000000000001,0.772,298.813,0.0647,101422.0,-0.29100000000000004,5550.0,64.368,119.605,126.90899999999999,186121235,162799.0,0.534,0.672,0
0.813,0.976,86.09299999999999,0.0621,103600.0,-0.298,5251.0,60.54,120.147,124.135,185683896,161886.0,0.488,0.657,0
0.795,1.0979999999999999,228.541,0.0602,71041.0,-0.305,5216.0,56.443000000000005,120.397,120.333,185414736,161106.0,0.466,0.642,0
0.773,1.012,206.963,0.0598,71688.0,-0.312,5123.0,56.24,120.573,119.685,185551204,160416.0,0.39399999999999996,0.628,0
0.7759999999999999,1.294,200.31799999999998,0.06,192965.0,-0.32299999999999995,4594.0,55.893,120.762,120.096,185339537,160137.0,0.48100000000000004,0.613,0
0.8390000000000001,0.907,189.145,0.0597,309113.0,-0.33799999999999997,4113.0,54.287,120.89,119.38799999999999,184738296,159771.0,0.312,0.599,0
