difficulty90sma,fee_to_reward14stdUSD,mining_profitability90mom,mining_profitability90trx,price30varUSD,price90varUSD,priceUSD,top100cap90roc,category
49727882.0,3.0980000000000003,-1992.0,-0.599,28.715999999999998,249.71599999999998,121.53399999999999,-3.47,1
50764430.0,3.091,-2049.0,-0.605,22.486,254.722,121.286,-3.035,1
51800977.0,3.088,-2013.0,-0.612,17.41,259.64,121.31,-3.3510000000000004,1
52983927.0,3.0780000000000003,-2164.0,-0.618,12.842,264.71299999999997,122.14,-3.657,1
54422593.0,3.072,-2014.0,-0.625,10.217,269.244,122.652,-3.5869999999999997,1
55851942.0,3.049,-1858.0,-0.631,9.087,272.725,122.374,-3.614,1
57268429.0,3.031,-1533.0,-0.637,8.116,276.471,123.20100000000001,-3.662,1
58684916.0,3.031,-1628.0,-0.643,7.841,278.656,123.325,-3.747,1
60101404.0,3.051,-1512.0,-0.65,7.893,279.39799999999997,123.05,-3.9339999999999997,1
61517891.0,1.251,-1682.0,-0.6559999999999999,7.7010000000000005,279.07599999999996,123.374,-3.823,1
62934379.0,0.877,-1333.0,-0.662,9.701,273.319,112.777,-3.307,1
64350866.0,0.639,-1466.0,-0.6679999999999999,14.449000000000002,263.22900000000004,108.50399999999999,-2.74,1
65767354.0,0.638,-1264.0,-0.674,14.898,249.03,117.03200000000001,-3.375,1
67183841.0,0.6459999999999999,-1124.0,-0.68,14.591,237.946,119.311,-3.266,1
68770439.0,0.652,-1462.0,-0.6859999999999999,13.562999999999999,229.122,119.368,-3.708,1
70636505.0,0.655,-1340.0,-0.6920000000000001,12.405999999999999,219.33,120.405,-3.7939999999999996,1
72502571.0,0.669,-1564.0,-0.698,11.739,211.864,121.615,-3.677,1
74315614.0,0.667,-1160.0,-0.7040000000000001,11.432,207.768,122.89299999999999,-3.995,1
76128040.0,0.667,-1102.0,-0.71,11.505,205.33700000000002,123.50299999999999,-3.609,1
77940467.0,0.272,-1500.0,-0.716,11.681,204.113,123.83200000000001,-2.7060000000000004,1
79752893.0,0.271,-1365.0,-0.722,11.755999999999998,202.71200000000002,124.149,-2.35,1
81565319.0,0.27399999999999997,-1366.0,-0.728,12.459000000000001,202.50099999999998,126.822,-2.112,1
83377746.0,0.278,-1332.0,-0.7340000000000001,14.626,203.641,130.11700000000002,-2.117,1
85190172.0,0.251,-1533.0,-0.7390000000000001,19.903,206.23,134.739,-2.509,1
87342964.0,0.26899999999999996,-1266.0,-0.745,26.164,207.99200000000002,136.214,-4.24,1
90027057.0,0.29600000000000004,-1399.0,-0.7509999999999999,34.44,209.13400000000001,138.704,-3.783,1
92711150.0,0.307,-1347.0,-0.7559999999999999,48.066,212.882,143.72299999999998,-3.1660000000000004,1
95395243.0,0.295,-1428.0,-0.762,77.189,224.071,153.886,-3.062,1
98068016.0,0.28,-1051.0,-0.767,110.52,237.456,157.329,-3.196,1
100695508.0,0.264,-941.216,-0.773,157.781,258.12,164.81,-3.44,1
103323000.0,0.235,-1196.0,-0.778,245.87400000000002,297.905,180.31599999999997,-3.952,1
105950492.0,0.25,-998.3760000000001,-0.784,366.337,353.711,191.426,-3.977,1
108577984.0,0.284,-1101.0,-0.789,454.733,398.466,185.605,-4.061,1
111205476.0,0.273,-1224.0,-0.794,489.786,419.142,169.46900000000002,0.975,1
115006278.0,0.266,-1128.0,-0.799,528.323,442.16900000000004,172.97,1.176,1
119002632.0,0.37,-1363.0,-0.805,574.309,472.13199999999995,178.428,0.732,1
122998985.0,0.345,-1361.0,-0.81,641.3580000000001,514.696,188.042,0.462,1
126995339.0,0.327,-1284.0,-0.815,715.2360000000001,564.596,193.13400000000001,-0.11900000000000001,1
130991693.0,0.34,-1169.0,-0.82,785.7410000000001,615.9490000000001,195.57,0.428,1
134988046.0,0.35600000000000004,-1352.0,-0.825,845.6060000000001,664.862,195.73,0.469,1
138952317.0,0.36,-1002.0,-0.83,877.1360000000001,714.61,197.87,1.021,1
142880495.0,0.38799999999999996,-1108.0,-0.835,885.335,763.966,199.6,0.955,1
146808673.0,0.377,-1028.0,-0.84,908.998,816.085,202.56,1.4909999999999999,1
150736851.0,0.40299999999999997,-1092.0,-0.845,958.842,886.215,213.80599999999998,3.657,1
154902579.0,0.42200000000000004,-1023.0,-0.85,1058.0,989.395,231.403,3.819,1
160164101.0,1.421,-1138.0,-0.855,1214.0,1127.0,248.28400000000002,3.932,1
165425623.0,1.895,-926.324,-0.8590000000000001,1489.0,1331.0,274.025,4.226,1
170687145.0,2.121,-1049.0,-0.8640000000000001,1889.0,1606.0,298.115,4.565,1
175948667.0,2.097,-906.047,-0.8690000000000001,2546.0,2016.0,334.983,3.9160000000000004,1
181210189.0,2.103,-925.817,-0.873,2757.0,2247.0,291.892,2.842,1
186444826.0,2.07,-822.395,-0.878,3063.0,2549.0,314.01,2.283,1
191557264.0,2.113,-599.567,-0.882,3484.0,2930.0,336.63,2.553,1
196669702.0,2.12,-668.1469999999999,-0.8859999999999999,4129.0,3444.0,369.033,2.677,1
201782140.0,2.127,-533.809,-0.8909999999999999,5022.0,4104.0,400.994,3.134,1
206894577.0,2.156,-585.9540000000001,-0.895,5894.0,4802.0,411.755,3.716,1
212007015.0,2.178,-569.616,-0.899,6690.0,5512.0,418.345,3.85,1
