activeaddresses,activeaddresses7trx,confirmationtime,confirmationtime14wma,confirmationtime30sma,confirmationtime3ema,confirmationtime3wma,confirmationtime7wma,difficulty14var,fee_to_reward14emaUSD,fee_to_reward3stdUSD,fee_to_reward7emaUSD,fee_to_rewardUSD,hashrate14trx,hashrate30mom,hashrate7std,median_transaction_feeUSD,mediantransactionvalue14momUSD,mediantransactionvalue14rocUSD,mediantransactionvalueUSD,price14rsiUSD,price30rocUSD,price30rsiUSD,price3momUSD,price3rocUSD,price3rsiUSD,price3trxUSD,price7momUSD,price7rocUSD,price7rsiUSD,priceUSD,size3sma,size90mom,size90roc,size90sma,top100cap90rsi,transactions3var,transactions7var,transactionvalueUSD,category
156727,-0.5670000000000001,8.727,8.625,8.625,8.816,8.884,8.763,1.72672950738338e+17,0.327,0.086,0.332,0.353,1.4,1.73519947668865e+16,5662206636945173.0,0.0487,-36.62,-36.467,63.8,49.013000000000005,-13.679,44.818000000000005,-14.728,-2.938,36.166,-0.032,-30.811,-5.956,52.68600000000001,486.543,240203.0,56542.0,30.496,218778.0,40.329,73998545.0,98703958.0,4459.0,1
168337,-0.43799999999999994,9.536,8.753,8.637,9.176,9.236,8.962,1.74611517034947e+17,0.336,0.040999999999999995,0.348,0.395,1.368,1.33333535644419e+16,4582761976565517.0,0.0487,-37.015,-30.605,83.931,49.248000000000005,-15.654000000000002,44.917,-11.571,-2.319,39.438,-0.204,-18.062,-3.573,53.223,487.399,269916.0,108900.0,63.738,219988.0,40.657,5213705.0,112218690.0,2944.0,0
181970,-0.165,7.912000000000001,8.663,8.599,8.544,8.589,8.719,1.69018641857438e+17,0.331,0.078,0.336,0.3,1.3159999999999998,1.5502288159656e+16,4398324797653720.0,0.0465,-35.41,-32.641999999999996,73.07,43.527,-19.808,42.82899999999999,-26.927,-5.476,13.008,-0.812,-20.519000000000002,-4.228,39.42,464.777,249435.0,60452.0,36.385,220659.0,40.445,367020.0,114472250.0,3466.0,0
135298,-0.309,8.834,8.701,8.616,8.689,8.644,8.746,1.55894325205778e+17,0.317,0.14,0.308,0.22399999999999998,1.2830000000000001,2.13357628244833e+16,5081332188458745.0,0.0456,-6.931,-8.211,77.477,41.621,-15.960999999999999,42.088,-30.046999999999997,-6.176,9.509,-1.29,-34.465,-7.02,35.49,456.496,228771.0,1989.0,1.1179999999999999,220681.0,40.385999999999996,93330614.0,119266106.0,2902.0,0
171950,-0.258,8.136000000000001,8.647,8.611,8.412,8.331,8.606,1.3523856708001e+17,0.31,0.062,0.297,0.266,1.2429999999999999,1.20900229841441e+16,5082874572840629.0,0.0451,-3.8560000000000003,-5.534,65.825,40.343,-10.290999999999999,41.588,-36.467,-7.482,7.481,-1.508,-50.338,-10.042,32.917,450.93199999999996,195827.0,-6399.0,-3.4160000000000004,220610.0,40.419000000000004,91031310.0,104231744.0,2526.0,0
167559,-0.16899999999999998,9.474,8.767000000000001,8.652999999999999,8.943,8.921,8.799,1.07051367480099e+17,0.313,0.092,0.307,0.336,1.2,1.61726711161169e+16,3814710369190800.0,0.0436,-26.88,-23.323,88.369,37.031,-12.704,40.25,-28.888,-6.216,4.011,-1.804,-63.082,-12.642000000000001,26.791,435.88800000000003,199926.0,23148.0,10.73,220868.0,40.79,32902099.0,95233474.0,3827.0,1
169787,-0.055,8.421,8.727,8.591000000000001,8.682,8.724,8.691,7.22209984625132e+16,0.311,0.057999999999999996,0.304,0.295,1.138,1.56799062941493e+16,4136175527878180.0,0.0443,-42.107,-34.208,80.982,39.677,-5.553999999999999,41.221000000000004,-13.142000000000001,-2.8789999999999996,28.646,-1.554,-48.35,-9.833,33.912,443.35400000000004,215653.0,34697.0,18.03,221253.0,40.176,33050865.0,73653338.0,3811.0,1
166103,0.019,10.511,8.962,8.674,9.597000000000001,9.641,9.138,1.04120083499704e+17,0.32,0.067,0.322,0.37799999999999995,1.1059999999999999,2.3375451598812e+16,6119121251560500.0,0.0444,-33.738,-25.993000000000002,96.06,40.007,-2.7880000000000003,41.341,-6.671,-1.479,31.836,-1.1420000000000001,-42.282,-8.69,34.811,444.26099999999997,245429.0,95774.0,54.891999999999996,222317.0,40.145,328638.0,59747742.0,3343.0,1
154675,-0.045,8.182,8.872,8.666,8.889,8.998,8.94,1.2705771866257e+17,0.31,0.10800000000000001,0.304,0.247,1.072,1.45339794776508e+16,5926431047489833.0,0.0454,-20.896,-20.403,81.51899999999999,43.417,-4.7780000000000005,42.57899999999999,17.652,4.05,59.562,-0.515,-33.858000000000004,-6.947,43.915,453.541,229764.0,24425.0,14.585,222589.0,40.399,5252645.0,45694106.0,3336.0,0
143742,-0.261,8.943999999999999,8.887,8.721,8.917,8.951,8.981,1.74522837554004e+17,0.308,0.10800000000000001,0.301,0.295,1.079,2.54428411965174e+16,8447793797890254.0,0.0449,-35.792,-33.229,71.922,42.038999999999994,-3.806,42.086999999999996,5.22,1.177,44.898999999999994,-0.244,-16.203,-3.486,40.393,448.574,224538.0,59932.0,39.551,223255.0,39.899,3312930.0,24973584.0,4774.0,0
