difficulty14roc,difficulty14sma,difficulty14trx,difficulty14wma,difficulty3ema,difficulty7ema,difficulty7trx,hashrate30trx,hashrate30wma,median_transaction_fee3trxUSD,median_transaction_feeUSD,mediantransactionvalue30smaUSD,mediantransactionvalueUSD,mining_profitability30ema,mining_profitability30std,mining_profitability3sma,mining_profitability3wma,mining_profitability7sma,mining_profitability90ema,mining_profitability90sma,mining_profitability90std,mining_profitability90var,mining_profitability90wma,price14rsiUSD,price30varUSD,price7rsiUSD,priceUSD,size90trx,top100cap,top100cap30roc,top100cap90roc,top100cap90rsi,category
16.959,8442689.0,1.473,8734910.0,8969925.0,8850138.0,1.36,1.406,66620844512749.0,5.382000000000001,0.0699,92.927,91.25,6937.0,3976.0,7688.0,7935.0,6975.0,5702.0,5347.0,4136.0,4276867.0,6239.0,62.913000000000004,852.3989999999999,71.513,139.74,0.301,20.382,4.035,6.126,53.468,0
16.959,8535639.0,1.44,8805791.0,8972111.0,8881178.0,1.23,1.3980000000000001,67631024256869.0,4.02,0.0665,93.87700000000001,91.286,6957.0,3925.0,7752.0,7715.0,7125.0,5736.0,5391.0,4131.0,4266292.0,6281.0,59.617,824.092,63.494,132.945,0.299,20.42,3.812,5.513,53.777,0
16.959,8628588.0,1.399,8864278.0,8973203.0,8904457.0,1.095,1.3880000000000001,68168272441535.0,1.9869999999999999,0.0632,94.741,85.83200000000001,6923.0,3946.0,7406.0,7055.0,7060.0,5751.0,5430.0,4103.0,4208232.0,6304.0,56.507,798.309,56.308,126.316,0.297,20.167,2.323,4.096,51.448,0
16.959,8721538.0,1.351,8910373.0,8973750.0,8921917.0,0.961,1.374,68547304609908.0,0.45799999999999996,0.062,95.005,72.582,6978.0,3927.0,7151.0,7238.0,7225.0,5796.0,5484.0,4097.0,4196867.0,6355.0,55.44,769.4680000000001,53.872,124.045,0.295,20.183,1.625,4.196000000000001,51.59,0
16.959,8814488.0,1.298,8944074.0,8974023.0,8935012.0,0.835,1.3630000000000002,69408381420281.0,0.34,0.0653,96.49700000000001,91.26100000000001,6996.0,3912.0,7156.0,7294.0,7397.0,5828.0,5528.0,4088.0,4177618.0,6394.0,57.896,743.0189999999999,59.708,130.56,0.293,20.057000000000002,0.501,3.372,50.473,0
28.43,8970303.0,1.2690000000000001,9082731.0,9414219.0,9164862.0,0.877,1.3530000000000002,70243171520285.0,0.79,0.0672,97.31700000000001,75.671,6958.0,3930.0,7143.0,6913.0,7302.0,5841.0,5563.0,4062.0,4125867.0,6413.0,59.342,719.012,62.982,134.465,0.29100000000000004,20.088,1.22,3.072,50.739,0
25.354,9115876.0,1.2590000000000001,9230196.0,9745256.0,9392720.0,1.0070000000000001,1.341,70748946853793.0,0.03,0.0623,98.087,88.1,6918.0,3953.0,6665.0,6512.0,7141.0,5852.0,5592.0,4047.0,4093997.0,6430.0,54.299,696.544,50.872,124.662,0.289,20.156,0.971,3.627,51.31399999999999,0
12.279000000000002,9194590.0,1.258,9358252.0,9910774.0,9563613.0,1.133,1.325,70948420726995.0,-1.819,0.0555,97.294,71.153,6817.0,4027.0,6028.0,5855.0,6686.0,5841.0,5618.0,4010.0,4020034.0,6425.0,48.176,693.883,38.789,111.04899999999999,0.287,20.215,0.956,3.8569999999999998,51.809,0
12.279000000000002,9273304.0,1.258,9475812.0,9993534.0,9691783.0,1.217,1.305,71131145383649.0,-3.528,0.0513,96.249,71.191,6702.0,4083.0,5579.0,5363.0,6371.0,5823.0,5638.0,3981.0,3961598.0,6412.0,44.833999999999996,705.323,33.150999999999996,102.694,0.285,20.229,1.212,4.218,51.926,1
12.279000000000002,9352018.0,1.256,9582877.0,10034913.0,9787911.0,1.247,1.284,71550635345564.0,-3.8,0.0525,93.68700000000001,46.458,6635.0,4090.0,5352.0,5403.0,6261.0,5819.0,5657.0,3965.0,3930504.0,6413.0,45.967,713.182,36.189,105.04,0.28300000000000003,20.203,1.0659999999999998,4.109,51.68899999999999,1
12.279000000000002,9430732.0,1.249,9679447.0,10055603.0,9860006.0,1.23,1.263,71977425369199.0,-2.4290000000000003,0.0567,91.493,59.378,6611.0,3975.0,5655.0,5858.0,6045.0,5829.0,5691.0,3931.0,3862396.0,6426.0,49.943999999999996,712.21,46.396,113.464,0.281,20.175,1.725,4.058,51.435,0
