difficulty14ema,difficulty14mom,difficulty14sma,difficulty14var,difficulty14wma,difficulty30roc,difficulty30wma,difficulty3ema,fee_to_reward7smaUSD,fee_to_reward90emaUSD,fee_to_reward90wmaUSD,hashrate30trx,median_transaction_feeUSD,mining_profitability,mining_profitability30sma,mining_profitability90trx,price14rsiUSD,price30stdUSD,price7rsiUSD,price90smaUSD,priceUSD,sentinusd90varUSD,sentinusdUSD,size14std,size30ema,top100cap14trx,top100cap30mom,top100cap30rsi,top100cap90rsi,transactionvalue30varUSD,transactionvalue90stdUSD,category
8620139.0,1301296.0,8628588.0,305932449136.0,8864278.0,34.028,8331993.0,8973203.0,1.186,1.226,1.2819999999999998,1.3880000000000001,0.0632,6431.0,7532.0,0.45299999999999996,56.507,56.50899999999999,56.308,63.00899999999999,126.316,1.05158089265048e+16,101632294.0,46733.0,167269.0,0.14300000000000002,0.45799999999999996,55.678000000000004,51.448,4132550.0,3614.0,0
8667360.0,1301296.0,8721538.0,240604564445.0,8910373.0,34.028,8403323.0,8973750.0,1.185,1.215,1.271,1.374,0.062,7773.0,7576.0,0.461,55.44,55.479,53.872,64.19,124.045,1.04593177107224e+16,71330450.0,51669.0,164344.0,0.133,0.32299999999999995,56.022,51.59,4170812.0,3602.0,0
8708285.0,1301296.0,8814488.0,157997378467.0,8944074.0,34.028,8469754.0,8974023.0,1.162,1.2109999999999999,1.266,1.3630000000000002,0.0653,7263.0,7598.0,0.469,57.896,54.516999999999996,59.708,65.435,130.56,1.06035228595987e+16,246132989.0,52257.0,163256.0,0.12,0.1,52.838,50.473,4177589.0,3640.0,0
8861102.0,2181414.0,8970303.0,117894175148.0,9082731.0,47.172,8588067.0,9414219.0,1.13,1.2109999999999999,1.265,1.3530000000000002,0.0672,6393.0,7578.0,0.47600000000000003,59.342,53.629,62.982,66.718,134.465,1.05624784497685e+16,134413219.0,52281.0,164428.0,0.106,0.242,53.512,50.739,4191734.0,3640.0,0
9023127.0,2038017.0,9115876.0,122027010373.0,9230196.0,50.486000000000004,8713902.0,9745256.0,1.0659999999999998,1.208,1.261,1.341,0.0623,6340.0,7549.0,0.483,54.299,52.784,50.872,67.884,124.662,1.05123685640443e+16,167913093.0,52465.0,164806.0,0.092,0.19399999999999998,54.958999999999996,51.31399999999999,4164424.0,3632.0,0
9163550.0,1101997.0,9194590.0,180285137158.0,9358252.0,50.486000000000004,8832467.0,9910774.0,1.089,1.216,1.2670000000000001,1.325,0.0555,5352.0,7461.0,0.488,48.176,52.683,38.789,68.893,111.04899999999999,1.04433307181248e+16,100383752.0,54341.0,166873.0,0.08,0.191,56.19,51.809,4262482.0,3619.0,0
9285249.0,1101997.0,9273304.0,226151456819.0,9475812.0,50.486000000000004,8943762.0,9993534.0,1.141,1.218,1.268,1.305,0.0513,5046.0,7334.0,0.493,44.833999999999996,53.11600000000001,33.150999999999996,69.812,102.694,1.03653732104424e+16,82759349.0,49147.0,167875.0,0.07,0.242,56.479,51.926,4365529.0,3605.0,1
9390721.0,1101997.0,9352018.0,259625969355.0,9582877.0,50.486000000000004,9047787.0,10034913.0,1.1540000000000001,1.216,1.265,1.284,0.0525,5658.0,7230.0,0.498,45.967,53.411,36.189,70.757,105.04,1.03221703014403e+16,52594931.0,49130.0,167230.0,0.06,0.213,55.765,51.68899999999999,4543531.0,3595.0,1
9482131.0,1101997.0,9430732.0,280708674765.0,9679447.0,43.843,9144543.0,10055603.0,1.1740000000000002,1.209,1.2570000000000001,1.263,0.0567,6262.0,7107.0,0.501,49.943999999999996,53.375,46.396,71.794,113.464,1.02784005847452e+16,71942421.0,44252.0,166284.0,0.052000000000000005,0.342,54.993,51.435,4638351.0,3586.0,0
9561352.0,1101997.0,9509446.0,289399573051.0,9765522.0,31.320999999999998,9234693.0,10065948.0,1.205,1.21,1.2570000000000001,1.247,0.0565,5457.0,6992.0,0.504,49.729,53.16,45.928999999999995,72.82600000000001,113.005,1.02150057319217e+16,96534774.0,43057.0,166079.0,0.043,0.263,52.871,50.727,4711940.0,3575.0,1
9630011.0,1101997.0,9588160.0,285698664212.0,9841102.0,31.320999999999998,9319676.0,10071120.0,1.189,1.208,1.254,1.235,0.0552,5568.0,6864.0,0.507,48.443999999999996,52.551,43.034,73.825,110.375,1.01425078772631e+16,107023476.0,42922.0,166394.0,0.034,0.331,52.898,50.736999999999995,4750785.0,3565.0,1
9689515.0,1101997.0,9666874.0,269605948247.0,9906186.0,31.320999999999998,9399490.0,10073707.0,1.214,1.209,1.253,1.224,0.0548,5355.0,6705.0,0.509,48.047,49.826,42.114,74.807,109.595,1.00741493686491e+16,90740823.0,35943.0,165756.0,0.026000000000000002,0.43700000000000006,53.604,50.99100000000001,4795609.0,3551.0,1
9741086.0,1101997.0,9745588.0,241121425158.0,9960775.0,31.320999999999998,9474135.0,10075000.0,1.219,1.217,1.26,1.214,0.0542,5442.0,6441.0,0.51,47.417,40.286,40.592,75.767,108.42,1.00386612579392e+16,74950425.0,37902.0,167259.0,0.019,0.423,53.86600000000001,51.085,4630032.0,3545.0,1
9785780.0,1101997.0,9824302.0,200245094944.0,10004869.0,31.320999999999998,9543613.0,10075646.0,1.2429999999999999,1.2229999999999999,1.265,1.204,0.0553,5770.0,6223.0,0.511,48.723,32.222,44.793,76.742,110.54,9972158298114880.0,100688626.0,40066.0,168762.0,0.012,0.301,51.765,50.409,3790217.0,3535.0,1
9824515.0,1101997.0,9903016.0,146976957604.0,10038468.0,31.320999999999998,9607921.0,10075970.0,1.271,1.225,1.2670000000000001,1.196,0.0563,5926.0,6184.0,0.511,49.963,32.195,48.713,77.734,112.50299999999999,9905830940944180.0,75441336.0,40374.0,170168.0,0.005,-0.161,50.798,50.092,3831286.0,3526.0,1
9888064.0,1326835.0,9997790.0,87707284768.0,10091550.0,34.251999999999995,9681568.0,10188550.0,1.3359999999999999,1.228,1.268,1.1909999999999998,0.11199999999999999,5199.0,6146.0,0.511,49.461000000000006,31.445,47.18899999999999,78.712,111.738,9853815044336460.0,62390388.0,30964.0,170937.0,-0.002,-0.126,50.262,49.918,3928190.0,3519.0,1
10061290.0,2212961.0,10155859.0,88956718419.0,10250145.0,45.8,9806731.0,10687904.0,1.3459999999999999,1.23,1.2690000000000001,1.189,0.0561,5179.0,6098.0,0.51,49.818000000000005,31.058000000000003,48.428000000000004,79.691,112.241,9758856687342430.0,125456476.0,27576.0,170794.0,-0.008,-0.136,50.038000000000004,49.846000000000004,3936697.0,3501.0,1
10211419.0,1332843.0,10251062.0,149386962071.0,10387665.0,45.8,9924338.0,10937581.0,1.3980000000000001,1.235,1.273,1.188,0.0543,4670.0,6061.0,0.509,47.243,30.166999999999998,40.494,80.62899999999999,108.635,9676815319587700.0,84787681.0,30716.0,172796.0,-0.013999999999999999,-0.127,50.623000000000005,50.033,3944341.0,3488.0,1
10341531.0,1110965.0,10330417.0,203512504823.0,10512491.0,45.8,10034386.0,11062419.0,1.4609999999999999,1.245,1.2830000000000001,1.182,0.0523,4587.0,6019.0,0.507,44.456,28.811999999999998,33.324,81.51100000000001,104.575,9616811611981970.0,78354482.0,37035.0,175707.0,-0.019,-0.33899999999999997,51.336999999999996,50.261,3978855.0,3480.0,1
10454294.0,1110965.0,10409771.0,245043738458.0,10626737.0,45.8,10136877.0,11124838.0,1.528,1.263,1.3,1.172,0.0535,4982.0,6020.0,0.504,46.486000000000004,25.215999999999998,40.648,82.40700000000001,107.0,9549984663825150.0,77014581.0,37639.0,177343.0,-0.021,-0.376,54.026,51.141999999999996,4025963.0,3469.0,1
10552023.0,1110965.0,10489126.0,273980662976.0,10730402.0,39.175,10231811.0,11156048.0,1.5119999999999998,1.265,1.301,1.161,0.0552,5231.0,6028.0,0.502,49.357,21.313000000000002,49.893,83.34,110.492,9467132849044260.0,93853220.0,37761.0,177122.0,-0.023,-0.278,53.041000000000004,50.846000000000004,4054891.0,3456.0,1
10636721.0,1110965.0,10568480.0,290323278377.0,10823486.0,24.659000000000002,10319972.0,11171653.0,1.4709999999999999,1.26,1.296,1.146,0.0564,5206.0,6039.0,0.499,51.231,19.905,55.299,84.29799999999999,112.815,9384774788629090.0,83989189.0,36476.0,176499.0,-0.023,-0.314,53.103,50.86600000000001,1082138.0,3441.0,1
10710125.0,1110965.0,10647835.0,294071584662.0,10905989.0,24.659000000000002,10403375.0,11179455.0,1.4509999999999998,1.2590000000000001,1.294,1.133,0.0565,4934.0,5997.0,0.495,51.306999999999995,19.639,55.516000000000005,85.258,112.905,9356562758512420.0,47379763.0,39237.0,174240.0,-0.023,-0.326,52.604,50.72,1082354.0,3434.0,1
10773743.0,1110965.0,10727190.0,285225581830.0,10977912.0,24.659000000000002,10482018.0,11183356.0,1.452,1.261,1.295,1.114,0.0566,4693.0,5924.0,0.491,51.57,19.66,56.324,86.208,113.2,9321660484358030.0,60837821.0,38147.0,174669.0,-0.023,-0.43700000000000006,52.963,50.832,1098878.0,3426.0,1
10828878.0,1110965.0,10806544.0,263785269881.0,11039255.0,24.659000000000002,10555903.0,11185307.0,1.416,1.26,1.2930000000000001,1.092,0.0576,5631.0,5891.0,0.48700000000000004,53.482,19.651,62.016999999999996,87.167,115.28,9254181247683940.0,77319212.0,37955.0,174622.0,-0.022000000000000002,-0.436,52.083999999999996,50.582,1105630.0,3412.0,1
10876662.0,1110965.0,10885899.0,229750648816.0,11090017.0,24.659000000000002,10625028.0,11186282.0,1.355,1.26,1.2919999999999998,1.071,0.0583,5211.0,5862.0,0.483,54.781000000000006,19.625,65.556,88.139,116.686,9169196776245630.0,85667561.0,37544.0,173602.0,-0.021,-0.386,53.57,51.037,984422.0,3395.0,1
10918075.0,1110965.0,10965253.0,183121718634.0,11130198.0,24.659000000000002,10689394.0,11186770.0,1.246,1.261,1.2919999999999998,1.052,0.0593,5784.0,5820.0,0.479,56.646,19.577,70.191,89.132,118.696,9115962817550460.0,84036763.0,38498.0,172866.0,-0.02,-0.408,52.878,50.843999999999994,944528.0,3384.0,1
10953966.0,1110965.0,11044608.0,123898479335.0,11159798.0,24.659000000000002,10749001.0,11187014.0,1.213,1.258,1.288,1.036,0.0623,5588.0,5757.0,0.474,61.652,18.609,79.601,90.195,124.605,9036099626129640.0,94140778.0,39315.0,171967.0,-0.018000000000000002,-0.16699999999999998,53.852,51.138999999999996,704319.0,3368.0,0
11020204.0,1374461.0,11142784.0,59068577424.0,11213951.0,27.595,10820849.0,11318884.0,1.225,1.255,1.285,1.023,0.0639,5608.0,5660.0,0.47,64.015,16.99,82.92299999999999,91.294,127.725,8978849224300845.0,93434849.0,41060.0,170481.0,-0.019,-0.48100000000000004,46.11,48.812,587160.0,3356.0,0
11171299.0,1852281.0,11275090.0,63920110792.0,11348701.0,35.425,10932704.0,11736148.0,1.1640000000000001,1.244,1.273,1.013,0.0644,5311.0,5595.0,0.465,64.783,16.476,83.926,92.405,128.75,8986083240286384.0,49520215.0,45782.0,168083.0,-0.021,-0.512,46.321999999999996,48.873999999999995,551802.0,3349.0,0
11302247.0,966154.0,11344101.0,113710098569.0,11465811.0,35.425,11037722.0,11944780.0,1.131,1.2409999999999999,1.2690000000000001,1.008,0.0642,5450.0,5562.0,0.46,64.214,16.671,81.767,93.507,128.355,8933216210578744.0,84997756.0,47190.0,166820.0,-0.023,-0.191,48.541000000000004,49.534,540404.0,3336.0,0
11415736.0,966154.0,11413112.0,153975045207.0,11573719.0,35.425,11135904.0,12049096.0,1.153,1.244,1.271,1.003,0.0629,5226.0,5477.0,0.455,60.413000000000004,16.797,68.14699999999999,94.572,125.725,8873647296518627.0,88225071.0,43610.0,166993.0,-0.025,-0.207,48.577,49.545,540925.0,3323.0,0
11514092.0,966154.0,11482123.0,184714950705.0,11672426.0,35.425,11227248.0,12101254.0,1.147,1.244,1.2690000000000001,1.0,0.0632,5342.0,5413.0,0.45,61.078,16.364,69.72399999999999,95.62899999999999,126.43,8805534279531005.0,99811971.0,33230.0,166541.0,-0.027999999999999997,-0.129,47.06100000000001,49.073,216234.0,3307.0,0
11599335.0,966154.0,11551134.0,205929815062.0,11761931.0,23.33,11311756.0,12127333.0,1.114,1.24,1.264,0.998,0.0636,5567.0,5386.0,0.445,61.875,15.42,71.618,96.67299999999999,127.245,8770148619039408.0,79542167.0,25629.0,165877.0,-0.03,-0.142,47.706,49.26,164223.0,3298.0,0
11673212.0,966154.0,11620145.0,217619638280.0,11842235.0,20.614,11391320.0,12140372.0,1.0979999999999999,1.235,1.258,1.0,0.0632,5071.0,5344.0,0.44,60.528999999999996,15.577,66.71,97.71,126.42399999999999,8719186356417410.0,85240132.0,25036.0,164677.0,-0.033,-0.278,45.625,48.607,85181.0,3288.0,0
11737239.0,966154.0,11689156.0,219784420357.0,11913337.0,20.614,11466416.0,12146892.0,1.046,1.225,1.247,1.0070000000000001,0.0647,5865.0,5361.0,0.435,61.068000000000005,16.046,68.212,98.759,126.90899999999999,8660278498363472.0,60948366.0,29519.0,162103.0,-0.036000000000000004,-0.335,45.735,48.638000000000005,85374.0,3276.0,0
11792728.0,966154.0,11758167.0,212424161294.0,11975238.0,20.614,11537046.0,12150152.0,1.075,1.219,1.24,1.022,0.0621,4901.0,5356.0,0.429,56.333999999999996,15.561,52.434,99.76799999999999,124.135,8619627352096558.0,52993274.0,33643.0,159468.0,-0.038,-0.34600000000000003,45.841,48.668,89720.0,3264.0,0
11840819.0,966154.0,11827178.0,195538861091.0,12027937.0,20.614,11603209.0,12151782.0,1.075,1.217,1.237,1.04,0.0602,5209.0,5341.0,0.424,50.549,15.026,38.275,100.698,120.333,8594656122185222.0,93272664.0,32508.0,157335.0,-0.042,-0.406,43.227,47.845,85641.0,3258.0,0
11882498.0,966154.0,11896189.0,169128519748.0,12071435.0,20.614,11664905.0,12152597.0,1.023,1.212,1.2309999999999999,1.062,0.0598,5139.0,5303.0,0.418,49.614,14.999,36.325,101.595,119.685,8607312342646152.0,78550020.0,30870.0,155553.0,-0.045,-0.391,42.836999999999996,47.718999999999994,85965.0,3260.0,0
12093733.0,2279499.0,12059010.0,282910549394.0,12280844.0,33.648,11806866.0,12809677.0,1.032,1.214,1.232,1.091,0.06,4025.0,5256.0,0.413,50.242,14.952,38.635999999999996,102.485,120.096,8587686009700909.0,81273352.0,30087.0,155049.0,-0.048,-0.22699999999999998,46.068999999999996,48.597,81914.0,3252.0,0
12561986.0,4418375.0,12374608.0,1027492465585.0,12753727.0,54.875,12079528.0,14207655.0,1.012,1.207,1.225,1.125,0.0597,3829.0,5198.0,0.406,49.106,14.735999999999999,36.008,103.352,119.38799999999999,8532059545646022.0,89470069.0,28600.0,154300.0,-0.05,-0.28,44.479,48.098,76179.0,3241.0,0
12967806.0,4418375.0,12690207.0,1572869896225.0,13184530.0,54.875,12340298.0,14906644.0,1.003,1.202,1.219,1.156,0.0575,3733.0,5144.0,0.4,42.68,14.464,24.156999999999996,104.15100000000001,115.014,8478230421080723.0,77533038.0,28056.0,154331.0,-0.052000000000000005,-0.31,44.449,48.088,71960.0,3229.0,0
13319516.0,4154879.0,12986984.0,1982183726343.0,13573254.0,54.875,12589178.0,15256138.0,1.038,1.198,1.214,1.185,0.0553,3834.0,5090.0,0.39299999999999996,37.351,14.295,17.394000000000002,104.88600000000001,110.585,8499342929984790.0,43627259.0,29830.0,152299.0,-0.053,-0.285,45.805,48.455,78103.0,3225.0,0
13624332.0,3452221.0,13233571.0,2361555632462.0,13922407.0,54.875,12826166.0,15430885.0,1.0270000000000001,1.1909999999999998,1.207,1.215,0.053,3133.0,5002.0,0.385,32.73,14.704,12.953,105.56200000000001,105.935,8456251972196146.0,71102092.0,29779.0,151116.0,-0.052000000000000005,-0.149,48.125,49.1,78950.0,3211.0,0
13888505.0,3452221.0,13480158.0,2619317032090.0,14238682.0,54.875,13051264.0,15518259.0,0.983,1.182,1.198,1.242,0.052000000000000005,3358.0,4917.0,0.37799999999999995,31.061,15.405,11.562999999999999,106.228,104.06,8481425039873048.0,50593222.0,31785.0,149022.0,-0.051,-0.12,47.928999999999995,49.043,77337.0,3215.0,0
14117455.0,3452221.0,13726745.0,2755467925227.0,14522078.0,51.494,13264470.0,15561946.0,0.9890000000000001,1.179,1.194,1.266,0.0533,3690.0,4866.0,0.37,35.756,15.772,24.186999999999998,106.936,106.555,8482953170053950.0,63276333.0,28153.0,147351.0,-0.049,-0.128,46.986999999999995,48.769,70552.0,3212.0,0
14315879.0,3452221.0,13973333.0,2770008311872.0,14772597.0,39.495,13466269.0,15583789.0,0.9229999999999999,1.172,1.186,1.2930000000000001,0.054000000000000006,3678.0,4816.0,0.361,38.459,16.023,31.065,107.656,108.05,8467639594692232.0,60179936.0,28924.0,144695.0,-0.046,-0.025,50.47,49.75,57120.0,3204.0,0
