activeaddresses30trx,difficulty14wma,difficulty7ema,hashrate14std,hashrate14var,median_transaction_feeUSD,mediantransactionvalueUSD,mining_profitability14sma,mining_profitability30sma,mining_profitability30wma,mining_profitability3sma,mining_profitability3wma,mining_profitability7sma,mining_profitability7std,mining_profitability7wma,mining_profitability90ema,mining_profitability90trx,price14rsiUSD,price30stdUSD,price30varUSD,price3rsiUSD,price7rsiUSD,price90smaUSD,priceUSD,sentinusd90stdUSD,sentinusd90varUSD,top100cap14roc,top100cap14trx,top100cap30mom,top100cap30roc,top100cap30rsi,top100cap90mom,top100cap90roc,top100cap90rsi,top100cap90wma,transactionfees7trxUSD,category
0.8809999999999999,9230196.0,9392720.0,10397162169981.0,2.7025245297222e+25,0.0623,88.1,6797.0,7549.0,7026.0,6665.0,6512.0,7141.0,1527.0,6874.0,5852.0,0.483,54.299,52.784,696.544,36.442,50.872,67.884,124.662,205059685,1.05123685640443e+16,-1.143,0.092,0.19399999999999998,0.971,54.958999999999996,0.705,3.627,51.31399999999999,19.868,0.49,0
0.8440000000000001,9358252.0,9563613.0,10460884445442.0,2.7357525845222e+25,0.0555,71.153,6830.0,7461.0,6884.0,6028.0,5855.0,6686.0,1489.0,6427.0,5841.0,0.488,48.176,52.683,693.883,18.079,38.789,68.893,111.04899999999999,204385232,1.04433307181248e+16,-1.037,0.08,0.191,0.956,56.19,0.7509999999999999,3.8569999999999998,51.809,19.88,0.244,0
0.807,9475812.0,9691783.0,7802845241076.0,1.5221098464045e+25,0.0513,71.191,6748.0,7334.0,6728.0,5579.0,5363.0,6371.0,1783.0,6017.0,5823.0,0.493,44.833999999999996,53.11600000000001,705.323,12.349,33.150999999999996,69.812,102.694,203620954,1.03653732104424e+16,-0.953,0.07,0.242,1.212,56.479,0.8190000000000001,4.218,51.926,19.892,-0.158,1
0.764,9582877.0,9787911.0,6079989265328.0,9.2415673666272e+24,0.0525,46.458,6660.0,7230.0,6620.0,5352.0,5403.0,6261.0,1849.0,5838.0,5819.0,0.498,45.967,53.411,713.182,22.671,36.189,70.757,105.04,203196164,1.03221703014403e+16,-1.672,0.06,0.213,1.0659999999999998,55.765,0.797,4.109,51.68899999999999,19.903,-0.495,1
0.718,9679447.0,9860006.0,5983190413378.0,8.9496418806838e+24,0.0567,59.378,6635.0,7107.0,6557.0,5655.0,5858.0,6045.0,1387.0,5839.0,5829.0,0.501,49.943999999999996,53.375,712.21,52.681000000000004,46.396,71.794,113.464,202764894,1.02784005847452e+16,-1.683,0.052000000000000005,0.342,1.725,54.993,0.787,4.058,51.435,19.914,-0.935,0
0.675,9765522.0,9914078.0,8814037303289.0,1.9421813395942e+25,0.0565,64.307,6592.0,6992.0,6451.0,5792.0,5759.0,5787.0,1004.0,5692.0,5821.0,0.504,49.729,53.16,706.495,51.062,45.928999999999995,72.82600000000001,113.005,202138623,1.02150057319217e+16,-2.056,0.043,0.263,1.3259999999999998,52.871,0.6890000000000001,3.552,50.727,19.922,-0.9109999999999999,0
0.643,9841102.0,9954632.0,9818848542920.0,2.41024466772e+25,0.0552,70.008,6486.0,6864.0,6359.0,5762.0,5647.0,5669.0,876.99,5637.0,5815.0,0.507,48.443999999999996,52.551,690.4119999999999,40.39,43.034,73.825,110.375,201420038,1.01425078772631e+16,-2.06,0.034,0.331,1.6740000000000002,52.898,0.7190000000000001,3.7119999999999997,50.736999999999995,19.930999999999997,-0.988,0
0.618,9906186.0,9985047.0,10875069008113.0,2.9566781482803003e+25,0.0548,76.058,6335.0,6705.0,6262.0,5460.0,5443.0,5528.0,699.08,5559.0,5805.0,0.509,48.047,49.826,620.663,36.952,42.114,74.807,109.595,200740124,1.00741493686491e+16,-0.907,0.026000000000000002,0.43700000000000006,2.222,53.604,0.731,3.7689999999999997,50.99100000000001,19.94,-0.755,0
0.59,9960775.0,10007858.0,10847649238468.0,2.9417873500209996e+25,0.0542,59.976000000000006,6113.0,6441.0,6180.0,5455.0,5434.0,5541.0,688.8710000000001,5537.0,5797.0,0.51,47.417,40.286,405.733,30.996,40.592,75.767,108.42,200386240,1.00386612579392e+16,-1.203,0.019,0.423,2.145,53.86600000000001,0.762,3.931,51.085,19.949,-0.502,0
0.563,10004869.0,10024967.0,11255416901385.0,3.1671102405995e+25,0.0553,59.973,6008.0,6223.0,6137.0,5522.0,5591.0,5644.0,566.948,5594.0,5797.0,0.511,48.723,32.222,259.572,51.957,44.793,76.742,110.54,199721389,9972158298114880.0,-1.746,0.012,0.301,1.5219999999999998,51.765,0.7340000000000001,3.8,50.409,19.956,-0.305,0
0.534,10038468.0,10037798.0,11876775703063.0,3.5264450275215002e+25,0.0563,46.253,5972.0,6184.0,6118.0,5713.0,5793.0,5683.0,600.658,5665.0,5800.0,0.511,49.963,32.195,259.128,66.215,48.713,77.734,112.50299999999999,199056082,9905830940944180.0,-0.685,0.005,-0.161,-0.799,50.798,0.6859999999999999,3.548,50.092,19.962,-0.311,1
0.501,10091550.0,10103632.0,12607694765462.0,3.9738491824761e+25,0.11199999999999999,52.908,5788.0,6146.0,6054.0,5632.0,5537.0,5531.0,459.18300000000005,5544.0,5786.0,0.511,49.461000000000006,31.445,247.201,56.426,47.18899999999999,78.712,111.738,198532769,9853815044336460.0,-0.8640000000000001,-0.002,-0.126,-0.628,50.262,0.6509999999999999,3.362,49.918,19.968,-0.366,1
0.469,10250145.0,10374538.0,14745369923495.0,5.4356483545174e+25,0.0561,66.581,5639.0,6098.0,5992.0,5435.0,5310.0,5491.0,521.7719999999999,5456.0,5773.0,0.51,49.818000000000005,31.058000000000003,241.146,61.976000000000006,48.428000000000004,79.691,112.241,197573851,9758856687342430.0,-0.276,-0.008,-0.136,-0.6779999999999999,50.038000000000004,0.5710000000000001,2.94,49.846000000000004,19.973,-0.261,1
0.43799999999999994,10387665.0,10577718.0,15404465872104.0,5.9324392201205e+25,0.0543,56.878,5516.0,6061.0,5900.0,5016.0,4928.0,5363.0,766.921,5251.0,5749.0,0.509,47.243,30.166999999999998,227.512,26.17,40.494,80.62899999999999,108.635,196741610,9676815319587700.0,-0.33,-0.013999999999999999,-0.127,-0.631,50.623000000000005,0.5870000000000001,3.0180000000000002,50.033,19.977999999999998,-0.311,1
0.409,10512491.0,10730103.0,14852116649998.0,5.5146342246284e+25,0.0523,61.821999999999996,5391.0,6019.0,5805.0,4812.0,4714.0,5253.0,940.081,5057.0,5723.0,0.507,44.456,28.811999999999998,207.533,13.245999999999999,33.324,81.51100000000001,104.575,196130687,9616811611981970.0,-0.545,-0.019,-0.33899999999999997,-1.663,51.336999999999996,0.627,3.227,50.261,19.984,-0.34299999999999997,1
0.381,10626737.0,10844391.0,13247475697830.0,4.3873903091148e+25,0.0535,67.321,5364.0,6020.0,5738.0,4747.0,4799.0,5188.0,942.449,4989.0,5707.0,0.504,46.486000000000004,25.215999999999998,158.959,39.857,40.648,82.40700000000001,107.0,195448046,9549984663825150.0,-0.36200000000000004,-0.021,-0.376,-1.8330000000000002,54.026,0.759,3.915,51.141999999999996,19.992,0.20800000000000002,1
0.353,10730402.0,10930108.0,11100119803771.0,3.0803164914517e+25,0.0552,68.267,5378.0,6028.0,5687.0,4934.0,5041.0,5111.0,819.789,5000.0,5697.0,0.502,49.357,21.313000000000002,113.564,63.823,49.893,83.34,110.492,194598385,9467132849044260.0,-0.585,-0.023,-0.278,-1.364,53.041000000000004,0.728,3.7569999999999997,50.846000000000004,20.0,0.439,1
0.322,10823486.0,10994395.0,9775393105161.0,2.3889577590106e+25,0.0564,80.035,5345.0,6039.0,5634.0,5140.0,5177.0,5008.0,504.901,5023.0,5686.0,0.499,51.231,19.905,99.055,74.118,55.299,84.29799999999999,112.815,193750095,9384774788629090.0,-0.445,-0.023,-0.314,-1.537,53.103,0.922,4.802,50.86600000000001,20.007,0.204,1
0.287,10905989.0,11042611.0,8359512720221.0,1.7470363229884e+25,0.0565,57.043,5251.0,5997.0,5563.0,5124.0,5074.0,4970.0,481.05,5005.0,5669.0,0.495,51.306999999999995,19.639,96.427,74.539,55.516000000000005,85.258,112.905,193458655,9356562758512420.0,-0.382,-0.023,-0.326,-1.5959999999999999,52.604,0.91,4.743,50.72,20.012999999999998,0.204,1
0.251,10977912.0,11078773.0,9208430061390.0,2.1198796048876e+25,0.0566,75.782,5196.0,5924.0,5478.0,4945.0,4859.0,4901.0,480.611,4936.0,5648.0,0.491,51.57,19.66,96.632,76.421,56.324,86.208,113.2,193097493,9321660484358030.0,0.067,-0.023,-0.43700000000000006,-2.126,52.963,0.909,4.735,50.832,20.019000000000002,0.136,1
0.22,11039255.0,11105894.0,9987676000619.0,2.4938417973333e+25,0.0576,88.835,5201.0,5891.0,5460.0,5086.0,5202.0,5038.0,655.867,5119.0,5647.0,0.48700000000000004,53.482,19.651,96.537,86.779,62.016999999999996,87.167,115.28,192397310,9254181247683940.0,-0.066,-0.022000000000000002,-0.436,-2.125,52.083999999999996,0.737,3.807,50.582,20.025,0.028999999999999998,1
0.18899999999999997,11090017.0,11126235.0,10110566596977.0,2.5555889227977e+25,0.0583,92.055,5190.0,5862.0,5416.0,5179.0,5265.0,5127.0,547.352,5162.0,5638.0,0.483,54.781000000000006,19.625,96.287,90.852,65.556,88.139,116.686,191511846,9169196776245630.0,0.027000000000000003,-0.021,-0.386,-1.883,53.57,0.785,4.058,51.037,20.032,0.11199999999999999,1
0.161,11130198.0,11141490.0,10285572344926.0,2.6448249615677e+25,0.0593,90.044,5215.0,5820.0,5411.0,5542.0,5567.0,5242.0,693.948,5326.0,5641.0,0.479,56.646,19.577,95.81200000000001,94.492,70.191,89.132,118.696,190955103,9115962817550460.0,-0.122,-0.02,-0.408,-1.986,52.878,0.706,3.639,50.843999999999994,20.037,0.262,1
0.138,11159798.0,11152932.0,11183758827335.0,3.1269115376999002e+25,0.0623,99.751,5202.0,5757.0,5396.0,5528.0,5591.0,5293.0,734.727,5413.0,5640.0,0.474,61.652,18.609,86.575,98.0,79.601,90.195,124.605,190116802,9036099626129640.0,0.39899999999999997,-0.018000000000000002,-0.16699999999999998,-0.8240000000000001,53.852,0.7829999999999999,4.044,51.138999999999996,20.044,0.361,1
0.113,11213951.0,11227388.0,11932008607218.0,3.5593207350683e+25,0.0639,75.408,5179.0,5660.0,5386.0,5660.0,5631.0,5350.0,761.0089999999999,5492.0,5639.0,0.47,64.015,16.99,72.165,98.671,82.92299999999999,91.294,127.725,189513580,8978849224300845.0,-0.635,-0.019,-0.48100000000000004,-2.359,46.11,0.655,3.404,48.812,20.045,0.5529999999999999,0
0.087,11348701.0,11458894.0,13342759011451.0,4.4507304509417e+25,0.0644,84.322,5187.0,5595.0,5364.0,5502.0,5456.0,5404.0,685.425,5482.0,5632.0,0.465,64.783,16.476,67.865,98.859,83.926,92.405,128.75,189589907,8986083240286384.0,-0.507,-0.021,-0.512,-2.508,46.321999999999996,0.69,3.588,48.873999999999995,20.046,0.474,0
0.062,11465811.0,11632523.0,15491796508717.0,5.9998939766872995e+25,0.0642,73.29899999999999,5206.0,5562.0,5354.0,5456.0,5430.0,5512.0,368.733,5493.0,5628.0,0.46,64.214,16.671,69.483,91.37,81.767,93.507,128.355,189031386,8933216210578744.0,-0.127,-0.023,-0.191,-0.946,48.541000000000004,0.728,3.783,49.534,20.048,0.574,0
