activeaddresses30mom,confirmationtime30ema,confirmationtime3ema,confirmationtime90ema,difficulty14var,hashrate14mom,hashrate14trx,hashrate30roc,hashrate3std,hashrate7trx,hashrate90roc,median_transaction_fee3trxUSD,median_transaction_fee7rocUSD,mediantransactionvalue14rocUSD,mediantransactionvalue14rsiUSD,mediantransactionvalue14smaUSD,mediantransactionvalue7rsiUSD,mediantransactionvalueUSD,mining_profitability3roc,mining_profitability7std,price3rsiUSD,price7momUSD,price7varUSD,priceUSD,sentbyaddress30var,sentinusdUSD,size30rsi,size30std,size30trx,size3mom,top100cap,category
12847,9.754,9.315,9.805,1.2302683877435e+17,3.38915720918074e+16,0.20199999999999999,2.017,2.72437116084546e+16,0.84,16.397000000000002,-0.718,-3.122,-9.445,45.318999999999996,55.113,41.198,44.114,-0.13,0.278,48.103,-8.097000000000001,57.641000000000005,251.271,94013457,158193822.0,48.681999999999995,88886.0,0.11900000000000001,29341.0,20.127,0
42595,9.732000000000001,9.363,9.797,1.25526365928161e+17,2.24278975141268e+16,0.231,-2.099,3.07207477485115e+16,0.747,5.425,-0.6809999999999999,-6.367000000000001,-6.916,43.283,54.913000000000004,37.336,37.739000000000004,3.17,0.22899999999999998,29.319000000000003,-16.669,54.191,245.128,96135598,134698864.0,49.077,89785.0,0.09699999999999999,-15313.0,20.17,1
-29745,9.759,9.752,9.804,1.22881938649252e+17,-2755657044931712.0,0.233,-2.2569999999999997,2.59308301936836e+16,0.518,9.506,-0.629,-8.264,-17.523,49.961000000000006,54.073,51.855,55.32,-3.887,0.218,29.325,-22.084,15.067,245.12900000000002,90453212,208783279.0,51.321000000000005,88223.0,0.081,114365.0,20.090999999999998,1
-17102,9.748,9.676,9.8,1.15093556936573e+17,2.59702597847032e+16,0.22699999999999998,2.112,1.61993295610862e+16,0.33399999999999996,8.014,-0.516,-4.25,-7.956,52.538000000000004,53.685,56.849,62.849,3.5010000000000003,0.11800000000000001,30.993000000000002,-10.888,5.34,245.298,106805747,206250251.0,50.766000000000005,88294.0,0.067,58526.0,20.093,0
-18214,9.823,10.293,9.824,1.02161220790649e+17,-6476579148210368.0,0.201,-2.11,1.85499185556518e+16,0.094,1.077,-0.495,-0.624,-3.839,52.93600000000001,53.503,57.631,63.996,-7.903,0.16,21.369,-1.527,6.569,243.148,123842113,259336754.0,53.166000000000004,92646.0,0.062,116645.0,20.067,1
-3893,9.749,9.484,9.799,8.40849302114795e+16,86896831090880.0,0.17600000000000002,-7.0520000000000005,1.94287681875599e+16,-0.05,4.335,-0.17800000000000002,-0.295,8.219,49.298,53.799,49.141000000000005,54.615,13.890999999999998,0.306,62.574,-0.735,6.143,248.23,112544384,192514809.0,49.468999999999994,92872.0,0.055,-48283.0,20.043,1
-3193,9.756,9.673,9.8,6.08646851995894e+16,3.96430153037069e+16,0.16699999999999998,1.492,3.21388379854733e+16,-0.039,9.37,0.312,2.496,-10.936,46.233999999999995,53.394,42.589,46.218,-4.198,0.314,79.502,6.1739999999999995,12.365,253.57,112357037,184512488.0,50.942,93053.0,0.051,9420.0,20.039,0
8344,9.734,9.543,9.792,3.25004857541919e+16,1.75369643373875e+16,0.159,17.461,1.68666979136414e+16,-0.02,6.377999999999999,0.493,0.564,-18.291,42.989,52.806000000000004,36.232,36.746,11.165999999999999,0.312,71.499,1.4180000000000001,14.181,252.68900000000002,104119610,115201981.0,48.545,88973.0,0.044000000000000004,-129351.0,20.035,1
45807,9.734,9.636000000000001,9.791,3.41138354335908e+17,4.30242229959231e+16,0.159,6.718,1.09204263675889e+16,0.045,8.144,0.598,4.0280000000000005,-26.598000000000003,40.888000000000005,52.022,32.396,30.305,-12.905999999999999,0.315,79.58800000000001,9.873,19.147000000000002,255.00099999999998,108061921,114187270.0,49.872,88988.0,0.038,10796.0,20.035999999999998,1
-9447,9.843,10.532,9.827,7.71893671275004e+17,-3743341416796224.0,0.152,5.038,1.39956421938892e+16,0.040999999999999995,8.997,0.698,5.1160000000000005,-19.971,47.878,51.18899999999999,48.578,46.714,-7.218999999999999,0.38299999999999995,86.315,12.540999999999999,24.503,257.67,108568282,187844073.0,52.882,93912.0,0.038,59081.0,20.039,0
