activeaddresses90var,difficulty14ema,difficulty14wma,difficulty30ema,difficulty30sma,difficulty3ema,difficulty7ema,difficulty90ema,difficulty90rsi,fee_to_reward30wmaUSD,fee_to_reward90smaUSD,fee_to_reward90wmaUSD,median_transaction_feeUSD,mining_profitability,mining_profitability14std,mining_profitability14var,mining_profitability30std,mining_profitability90mom,mining_profitability90trx,priceUSD,sentbyaddress90std,top100cap30rsi,top100cap30trx,top100cap90roc,category
177465949,24191148.0,24871302.0,21823068.0,21689432.0,26124721.0,25505429.0,16252812.0,99.37899999999999,0.728,1.042,0.929,0.0444,1902.0,268.08799999999997,17968.0,924.025,-2976.0,-0.017,88.775,14579.0,56.306999999999995,0.032,-0.379,1
166831268,24454045.0,25193667.0,22103055.0,21916885.0,26143798.0,25669791.0,16470615.0,99.37899999999999,0.735,1.035,0.9259999999999999,0.0432,1543.0,280.005,19601.0,932.424,-4655.0,-0.027999999999999997,86.48299999999999,13995.0,65.074,0.034,1.175,1
168828026,24681889.0,25470055.0,22364979.0,22144339.0,26153337.0,25793062.0,16683632.0,99.37899999999999,0.7140000000000001,1.0270000000000001,0.914,0.0419,1643.0,270.35200000000003,18273.0,885.198,-5244.0,-0.039,83.838,14017.0,60.532,0.035,0.018000000000000002,1
173106297,24879354.0,25700467.0,22610005.0,22371793.0,26158106.0,25885515.0,16891967.0,99.37899999999999,0.695,1.024,0.902,0.0419,1644.0,270.281,18263.0,836.709,-4972.0,-0.051,83.85799999999999,14344.0,59.325,0.036000000000000004,-0.01,1
173476846,25050490.0,25884902.0,22839222.0,22599247.0,26160491.0,25954856.0,17095723.0,99.37899999999999,0.6779999999999999,1.016,0.8909999999999999,0.0419,1731.0,264.54200000000003,17496.0,760.575,-4331.0,-0.062,83.889,14481.0,59.577,0.037000000000000005,0.047,1
169588673,25334651.0,26159203.0,23119382.0,22860662.0,26671092.0,26261565.0,17317393.0,99.42200000000001,0.682,1.0090000000000001,0.8859999999999999,0.0421,1337.0,315.158,24831.0,735.855,-5719.0,-0.073,84.1,14092.0,59.872,0.039,0.092,1
159059526,26124292.0,26921193.0,23644387.0,23257918.0,28964026.0,27510414.0,17623757.0,99.54899999999999,0.675,0.9990000000000001,0.877,0.0426,1256.0,377.50800000000004,35628.0,737.477,-6213.0,-0.084,85.24,13660.0,57.528,0.04,0.83,1
154828499,26808648.0,27588691.0,24135521.0,23655175.0,30110494.0,28447051.0,17923388.0,99.54899999999999,0.6859999999999999,0.993,0.875,0.0432,1552.0,349.908,30609.0,702.197,-6987.0,-0.095,86.425,13241.0,58.205,0.04,0.593,1
152239940,27401756.0,28161698.0,24594968.0,24052432.0,30683727.0,29149528.0,18216433.0,99.54899999999999,0.7,0.993,0.873,0.0439,1361.0,367.577,33778.0,664.779,-5886.0,-0.106,87.875,13005.0,58.287,0.040999999999999995,0.42200000000000004,1
152124227,27915784.0,28685661.0,25024774.0,24449689.0,30970344.0,29676386.0,18503038.0,99.54899999999999,0.6859999999999999,0.987,0.862,0.0446,1451.0,367.36,33738.0,612.082,-4980.0,-0.11699999999999999,89.193,13010.0,57.053999999999995,0.042,1.5319999999999998,1
129743895,28361274.0,29161109.0,25426851.0,24846945.0,31113652.0,30071530.0,18783344.0,99.54899999999999,0.687,0.987,0.856,0.0443,1549.0,344.50800000000004,29671.0,519.88,-6224.0,-0.128,88.506,13197.0,57.603,0.042,1.536,1
130694253,28747365.0,29588041.0,25802987.0,25244202.0,31185307.0,30367888.0,19057490.0,99.54899999999999,0.679,0.981,0.847,0.0442,1326.0,356.14300000000003,31709.0,479.408,-5937.0,-0.138,88.353,13311.0,57.849,0.043,2.218,1
130011514,29081978.0,29966459.0,26154856.0,25613506.0,31221134.0,30590156.0,19325610.0,99.54899999999999,0.679,0.975,0.84,0.0456,1602.0,348.065,30287.0,424.361,-4791.0,-0.149,91.241,13311.0,60.56100000000001,0.043,2.512,1
127589531,29371976.0,30296362.0,26484024.0,25944227.0,31239047.0,30756857.0,19587837.0,99.54899999999999,0.685,0.972,0.836,0.0465,1595.0,339.46,28808.0,409.214,-4745.0,-0.159,93.05,13259.0,61.472,0.043,2.326,1
127288042,29623307.0,30577749.0,26791956.0,26274948.0,31248004.0,30881883.0,19844302.0,99.54899999999999,0.7070000000000001,0.966,0.8370000000000001,0.048,1529.0,271.876,18479.0,386.02,-3823.0,-0.16899999999999998,96.0,13483.0,64.58,0.044000000000000004,2.613,1
148030716,29841128.0,30810622.0,27080020.0,26605669.0,31252482.0,30975652.0,20095129.0,99.54899999999999,0.718,0.961,0.8340000000000001,0.0479,1440.0,273.339,18679.0,376.269,-3606.0,-0.18,95.875,13909.0,61.201,0.045,2.154,1
148377471,30029905.0,30994979.0,27349500.0,26936390.0,31254722.0,31045980.0,20340444.0,99.54899999999999,0.713,0.955,0.8270000000000001,0.0477,1611.0,269.099,18104.0,329.789,-4046.0,-0.19,95.495,14098.0,61.472,0.045,2.336,1
149089285,30578504.0,31515813.0,27787881.0,27363359.0,32699560.0,31820584.0,20643828.0,99.616,0.708,0.9520000000000001,0.8190000000000001,0.0477,1272.0,279.801,19572.0,345.92699999999996,-4990.0,-0.2,95.37200000000001,14098.0,58.24100000000001,0.046,2.0909999999999997,1
146941600,31487073.0,32393748.0,28407551.0,27898607.0,35046163.0,33213630.0,21011937.0,99.67200000000001,0.7090000000000001,0.946,0.8140000000000001,0.0473,1351.0,245.815,15106.0,343.815,-4106.0,-0.209,94.551,14131.0,57.941,0.046,2.4530000000000003,1
128867352,32274498.0,33164732.0,28987242.0,28433855.0,36219465.0,34258414.0,21371955.0,99.67200000000001,0.7020000000000001,0.94,0.8059999999999999,0.0477,1283.0,254.06799999999998,16138.0,357.819,-4285.0,-0.21899999999999997,95.46,14041.0,55.513000000000005,0.046,2.1430000000000002,1
115931282,32956934.0,33838468.0,29529534.0,28969103.0,36806115.0,35042002.0,21724060.0,99.67200000000001,0.7140000000000001,0.9359999999999999,0.804,0.0484,1365.0,237.08700000000002,14053.0,364.465,-3991.0,-0.22899999999999998,96.89200000000001,14008.0,56.428999999999995,0.046,2.1430000000000002,1
114417303,33548378.0,34453767.0,30036839.0,29504351.0,37099441.0,35629693.0,22068428.0,99.67200000000001,0.711,0.9259999999999999,0.799,0.0487,1299.0,241.514,14582.0,364.79,-4143.0,-0.23800000000000002,97.39,13974.0,57.558,0.046,2.273,1
111620948,34060963.0,35010630.0,30511415.0,30039599.0,37246103.0,36070461.0,22405226.0,99.67200000000001,0.727,0.92,0.799,0.048,1388.0,239.68400000000003,14362.0,365.785,-4381.0,-0.248,95.932,13909.0,58.297,0.046,2.772,1
109778360,34505204.0,35509057.0,30955373.0,30574847.0,37319435.0,36401037.0,22734623.0,99.67200000000001,0.7390000000000001,0.915,0.799,0.0471,1178.0,272.79900000000004,18605.0,360.52099999999996,-4748.0,-0.257,94.179,13818.0,56.794,0.046,2.7710000000000004,1
110483844,34890212.0,35949047.0,31370689.0,30951026.0,37356100.0,36648970.0,23056780.0,99.67200000000001,0.7290000000000001,0.907,0.7909999999999999,0.0467,1341.0,264.129,17441.0,365.14099999999996,-3858.0,-0.266,93.381,13819.0,54.108000000000004,0.046,2.535,1
109754775,35223886.0,36330602.0,31759210.0,31325356.0,37374433.0,36834919.0,23371856.0,99.67200000000001,0.722,0.899,0.784,0.0465,1268.0,270.29900000000004,18265.0,374.091,-3911.0,-0.276,93.038,13884.0,57.763000000000005,0.045,3.168,1
121244582,35513070.0,36653720.0,32122665.0,31699685.0,37383600.0,36974381.0,23680008.0,99.67200000000001,0.706,0.888,0.775,0.047,1234.0,255.525,16323.0,363.38199999999995,-3436.0,-0.285,93.98899999999999,15491.0,63.708,0.045,4.2410000000000005,1
118520994,36086304.0,37241010.0,32618773.0,32154667.0,38597964.0,37683868.0,24034565.0,99.70700000000001,0.703,0.8759999999999999,0.77,0.0475,1132.0,249.453,15557.0,370.191,-3456.0,-0.294,94.93799999999999,15397.0,65.465,0.046,4.524,1
